ID,Column_ID,>Omicron_BA.1_F643L_A701V__EPI_ISL_8408981_2021-12-14_BA.1_Philippines_PH-PGC-102460_Freq,>Omicron_BA.1_F643L_A701V__EPI_ISL_8408981_2021-12-14_BA.1_Philippines_PH-PGC-102460_LNum
1,9,1209,94
2,47,1215,94
3,71,1385,94
4,95,1599,94
5,113,1393,94
6,179,1745,94
7,260,1679,93
8,303,1696,93
9,335,1797,94
10,404,1453,70
11,417,1587,94
12,437,1727,94
13,466,1631,94
14,467,1696,94
15,563,2025,94
16,566,1987,94
17,647,2405,94
18,782,884,94
19,793,823,89
20,821,1015,94
21,914,2593,94
22,925,3603,91
23,1001,2859,94
24,1055,2033,94
25,1102,3301,93
26,1160,4594,94
27,1207,5714,94
28,1232,5416,94
29,1323,5166,94
30,1373,4204,94
31,1418,2711,94
32,1620,5323,94
33,1665,5702,94
34,1817,5322,94
35,1923,2605,94
36,1992,814,94
37,2129,1316,94
38,2135,1128,94
39,2141,1013,94
40,2204,1398,91
41,2426,1816,94
42,2636,2141,93
43,2771,1189,91
44,2874,714,94
45,2975,1359,94
46,3162,2207,94
47,3191,2300,94
48,3248,3168,94
49,3471,2735,94
50,3530,2001,94
51,3586,1285,94
52,3736,1282,92
53,3915,589,86
54,4034,0,94
55,4191,0,94
56,4417,0,94
57,4627,0,94
58,4660,0,94
59,4918,0,87
60,5249,6292,93
61,5315,6972,94
62,5658,664,2
63,7205,8508,94
64,7585,6661,92
65,7874,3539,93
66,8042,12500,94
67,9763,173,59
68,9869,256,93
69,10401,3732,94
70,10415,3566,94
71,10585,4536,94
72,11894,1665,90
73,12470,3221,94
74,14075,3892,94
75,16775,1436,94
76,18320,5765,94
77,21307,4010,94
78,21332,2931,93
79,21378,15443,71
80,21499,783,22
81,21937,2920,94
82,21963,10345,91
83,22336,561,41
84,22550,819,86
85,22570,2486,93
86,22571,626,38
87,22640,812,39
88,22675,497,62
89,23693,1228,94
90,24674,484,94
91,24816,491,94
92,24817,493,94
93,25395,847,93
