Position,Total_reads,A_reads,C_reads,G_reads,T_reads,A_proportion,C_proportion,G_proportion,T_proportion
670,30.0,0,1,25,4,0,0.03333333333333333,0.8333333333333334,0.13333333333333333
2509,64.0,0,62,0,2,0,0.96875,0,0.03125
2790,68.0,0,7,1,60,0,0.10294117647058823,0.014705882352941176,0.8823529411764706
3037,69.0,0,3,0,66,0,0.043478260869565216,0,0.9565217391304348
3055,76.0,0,1,0,75,0,0.013157894736842105,0,0.9868421052631579
3701,68.0,4,0,63,1,0.058823529411764705,0,0.9264705882352942,0.014705882352941176
4184,68.0,62,0,6,0,0.9117647058823529,0,0.08823529411764706,0
4321,61.0,1,13,0,47,0.01639344262295082,0.21311475409836064,0,0.7704918032786885
4832,88.0,0,85,0,3,0,0.9659090909090909,0,0.03409090909090909
5184,70.0,0,70,0,0,0,1.0,0,0
5584,58.0,58,0,0,0,1.0,0,0,0
5736,70.0,1,56,0,13,0.014285714285714285,0.8,0,0.18571428571428572
7472,71.0,15,0,56,0,0.2112676056338028,0,0.7887323943661971,0
9344,74.0,0,7,0,67,0,0.0945945945945946,0,0.9054054054054054
9424,75.0,13,0,62,0,0.17333333333333334,0,0.8266666666666667,0
9534,70.0,0,7,0,63,0,0.1,0,0.9
9866,67.0,1,13,0,53,0.014925373134328358,0.19402985074626866,0,0.7910447761194029
9891,76.0,0,70,0,6,0,0.9210526315789473,0,0.07894736842105263
10029,81.0,0,10,0,71,0,0.12345679012345678,0,0.8765432098765432
10198,81.0,0,6,0,75,0,0.07407407407407407,0,0.9259259259259259
10447,78.0,70,0,7,1,0.8974358974358975,0,0.08974358974358974,0.01282051282051282
10449,76.0,70,4,0,2,0.9210526315789473,0.05263157894736842,0,0.02631578947368421
11418,133.0,0,3,0,130,0,0.022556390977443608,0,0.9774436090225563
11514,135.0,1,130,0,4,0.007407407407407408,0.9629629629629629,0,0.02962962962962963
11585,92.0,92,0,0,0,1.0,0,0,0
12880,77.0,0,6,0,71,0,0.07792207792207792,0,0.922077922077922
13019,64.0,0,61,0,3,0,0.953125,0,0.046875
13476,60.0,3,43,1,13,0.05,0.7166666666666667,0.016666666666666666,0.21666666666666667
14408,51.0,0,2,0,49,0,0.0392156862745098,0,0.9607843137254902
15451,46.0,0,0,46,0,0,0,1.0,0
15714,55.0,0,9,0,46,0,0.16363636363636364,0,0.8363636363636363
16466,69.0,0,65,0,4,0,0.9420289855072463,0,0.057971014492753624
17336,59.0,0,58,0,1,0,0.9830508474576272,0,0.01694915254237288
17410,64.0,0,4,0,60,0,0.0625,0,0.9375
18163,59.0,4,0,54,1,0.06779661016949153,0,0.9152542372881356,0.01694915254237288
18299,54.0,0,27,0,27,0,0.5,0,0.5
18304,54.0,0,0,33,21,0,0,0.6111111111111112,0.3888888888888889
18570,71.0,0,68,0,3,0,0.9577464788732394,0,0.04225352112676056
19955,85.0,0,2,1,82,0,0.023529411764705882,0.011764705882352941,0.9647058823529412
20055,84.0,14,0,70,0,0.16666666666666666,0,0.8333333333333334,0
20126,85.0,7,0,78,0,0.08235294117647059,0,0.9176470588235294,0
21618,104.0,1,9,5,89,0.009615384615384616,0.08653846153846154,0.04807692307692308,0.8557692307692307
21770,69.0,1,0,68,0,0.014492753623188406,0,0.9855072463768116,0
21987,68.0,66,1,1,0,0.9705882352941176,0.014705882352941176,0.014705882352941176,0
22200,65.0,1,0,61,3,0.015384615384615385,0,0.9384615384615385,0.046153846153846156
22227,70.0,0,66,0,4,0,0.9428571428571428,0,0.05714285714285714
22578,67.0,64,0,3,0,0.9552238805970149,0,0.04477611940298507,0
22674,69.0,0,10,0,59,0,0.14492753623188406,0,0.855072463768116
22679,71.0,0,68,1,2,0,0.9577464788732394,0.014084507042253521,0.028169014084507043
22686,69.0,0,8,0,61,0,0.11594202898550725,0,0.8840579710144928
22688,72.0,6,1,65,0,0.08333333333333333,0.013888888888888888,0.9027777777777778,0
22775,72.0,66,0,6,0,0.9166666666666666,0,0.08333333333333333,0
22786,72.0,9,59,1,3,0.125,0.8194444444444444,0.013888888888888888,0.041666666666666664
22813,75.0,0,0,4,71,0,0,0.05333333333333334,0.9466666666666667
22882,73.0,0,0,68,5,0,0,0.9315068493150684,0.0684931506849315
22917,73.0,0,0,3,70,0,0,0.0410958904109589,0.958904109589041
22992,72.0,67,0,4,1,0.9305555555555556,0,0.05555555555555555,0.013888888888888888
22995,72.0,68,4,0,0,0.9444444444444444,0.05555555555555555,0,0
23013,72.0,4,68,0,0,0.05555555555555555,0.9444444444444444,0,0
23040,75.0,5,0,70,0,0.06666666666666667,0,0.9333333333333333,0
23055,74.0,8,0,66,0,0.10810810810810811,0,0.8918918918918919,0
23063,74.0,6,2,1,65,0.08108108108108109,0.02702702702702703,0.013513513513513514,0.8783783783783784
23075,77.0,0,67,0,10,0,0.8701298701298701,0,0.12987012987012986
23403,77.0,0,0,77,0,0,0,1.0,0
23525,74.0,0,5,0,69,0,0.06756756756756757,0,0.9324324324324325
23599,71.0,1,0,64,6,0.014084507042253521,0,0.9014084507042254,0.08450704225352113
23604,72.0,61,7,2,2,0.8472222222222222,0.09722222222222222,0.027777777777777776,0.027777777777777776
23854,73.0,70,3,0,0,0.958904109589041,0.0410958904109589,0,0
23874,74.0,0,62,0,12,0,0.8378378378378378,0,0.16216216216216217
23948,70.0,0,0,4,66,0,0,0.05714285714285714,0.9428571428571428
24410,70.0,2,0,68,0,0.02857142857142857,0,0.9714285714285714,0
