ID,Column_ID,>Omicron_BA.1_F643L_A701V__EPI_ISL_8408981_2021-12-14_BA.1_Philippines_PH-PGC-102460_Freq,>Omicron_BA.1_F643L_A701V__EPI_ISL_8408981_2021-12-14_BA.1_Philippines_PH-PGC-102460_LNum
1,9,2031,94
2,47,2032,94
3,71,1899,94
4,95,3015,94
5,113,4064,94
6,179,5568,94
7,260,5825,93
8,303,5652,93
9,335,5627,94
10,404,4319,70
11,417,5346,94
12,437,5825,94
13,466,5471,94
14,467,5509,94
15,563,6989,94
16,566,6893,94
17,647,7072,94
18,782,3084,94
19,793,2867,89
20,821,3307,94
21,914,2564,94
22,925,2887,91
23,1001,2255,94
24,1055,2358,94
25,1102,2106,93
26,1160,2833,94
27,1207,2861,94
28,1232,2604,94
29,1323,3876,94
30,1373,2977,94
31,1418,2993,94
32,1620,4144,94
33,1665,4956,94
34,1817,5232,94
35,1923,3517,94
36,1992,1970,94
37,2129,2427,94
38,2135,2277,94
39,2141,2227,94
40,2204,1610,91
41,2426,5016,94
42,2636,4077,93
43,2771,4336,91
44,2874,6416,94
45,2975,5182,94
46,3162,4460,94
47,3191,4543,94
48,3248,4117,94
49,3471,5399,94
50,3530,5447,94
51,3586,5286,94
52,3736,3699,92
53,3915,1629,86
54,4034,1262,94
55,4191,2323,94
56,4417,2897,94
57,4627,4189,94
58,4660,4016,94
59,4918,24652,87
60,5249,4084,93
61,5315,2856,94
62,5658,2777,2
63,7205,5088,94
64,7585,2759,92
65,7874,8797,93
66,8042,7925,94
67,9763,2665,59
68,9869,4152,93
69,10401,7970,94
70,10415,7476,94
71,10585,4037,94
72,11894,4015,90
73,12470,3347,94
74,14075,2585,94
75,16775,10972,94
76,18320,9525,94
77,21307,5579,94
78,21332,4849,93
79,21378,5432,71
80,21499,2078,22
81,21937,6914,94
82,21963,11311,91
83,22336,3900,41
84,22550,281,86
85,22570,291,93
86,22571,0,38
87,22640,0,39
88,22675,0,62
89,23693,2297,94
90,24674,3773,94
91,24816,2433,94
92,24817,2401,94
93,25395,4177,93
