Position,Total_reads,A_reads,C_reads,G_reads,T_reads,A_proportion,C_proportion,G_proportion,T_proportion
19,1.0,0,1,0,0,0,1.0,0,0
21,3.0,0,2,0,1,0,0.6666666666666666,0,0.3333333333333333
210,280.0,1,0,145,134,0.0035714285714285713,0,0.5178571428571429,0.4785714285714286
241,276.0,3,4,1,268,0.010869565217391304,0.014492753623188406,0.0036231884057971015,0.9710144927536232
709,286.0,3,0,283,0,0.01048951048951049,0,0.9895104895104895,0
1577,606.0,1,0,605,0,0.0016501650165016502,0,0.9983498349834984,0
2198,654.0,86,0,567,1,0.13149847094801223,0,0.8669724770642202,0.0015290519877675841
2832,165.0,83,0,80,2,0.503030303030303,0,0.48484848484848486,0.012121212121212121
3037,131.0,0,1,0,130,0,0.007633587786259542,0,0.9923664122137404
4181,364.0,0,0,202,162,0,0,0.554945054945055,0.44505494505494503
4326,21.0,21,0,0,0,1.0,0,0,0
4370,19.0,0,0,15,4,0,0,0.7894736842105263,0.21052631578947367
5386,665.0,10,2,301,352,0.015037593984962405,0.0030075187969924814,0.45263157894736844,0.5293233082706766
5736,685.0,4,459,0,222,0.00583941605839416,0.67007299270073,0,0.32408759124087594
5924,673.0,333,0,339,1,0.4947994056463596,0,0.5037147102526003,0.0014858841010401188
6040,653.0,0,339,1,313,0,0.5191424196018377,0.0015313935681470138,0.4793261868300153
6402,218.0,0,105,1,112,0,0.481651376146789,0.0045871559633027525,0.5137614678899083
6538,236.0,1,231,0,4,0.00423728813559322,0.9788135593220338,0,0.01694915254237288
7124,235.0,0,139,0,96,0,0.5914893617021276,0,0.4085106382978723
7594,710.0,1,637,3,69,0.0014084507042253522,0.8971830985915493,0.004225352112676056,0.09718309859154929
7798,723.0,1,0,722,0,0.0013831258644536654,0,0.9986168741355463,0
8393,323.0,150,0,172,1,0.46439628482972134,0,0.5325077399380805,0.0030959752321981426
8964,335.0,3,182,0,150,0.008955223880597015,0.5432835820895522,0,0.44776119402985076
8986,332.0,1,166,1,164,0.0030120481927710845,0.5,0.0030120481927710845,0.4939759036144578
9053,333.0,4,0,173,156,0.012012012012012012,0,0.5195195195195195,0.46846846846846846
9539,92.0,1,75,3,13,0.010869565217391304,0.8152173913043478,0.03260869565217391,0.14130434782608695
10029,71.0,0,0,0,71,0,0,0,1.0
10046,97.0,22,0,75,0,0.2268041237113402,0,0.7731958762886598,0
10449,498.0,247,244,1,6,0.4959839357429719,0.4899598393574297,0.002008032128514056,0.012048192771084338
11002,526.0,524,0,2,0,0.9961977186311787,0,0.0038022813688212928,0
11201,494.0,263,0,231,0,0.5323886639676113,0,0.4676113360323887,0
11332,452.0,223,2,226,1,0.49336283185840707,0.004424778761061947,0.5,0.0022123893805309734
11537,339.0,186,0,153,0,0.5486725663716814,0,0.45132743362831856,0
13195,331.0,0,133,1,197,0,0.40181268882175225,0.0030211480362537764,0.595166163141994
13482,311.0,156,0,155,0,0.5016077170418006,0,0.4983922829581994,0
14408,505.0,1,21,0,483,0.0019801980198019802,0.041584158415841586,0,0.9564356435643564
14820,568.0,564,0,2,2,0.9929577464788732,0,0.0035211267605633804,0.0035211267605633804
15240,559.0,2,331,1,225,0.0035778175313059034,0.592128801431127,0.0017889087656529517,0.40250447227191416
15451,535.0,323,1,210,1,0.6037383177570094,0.001869158878504673,0.3925233644859813,0.001869158878504673
16466,521.0,1,225,0,295,0.0019193857965451055,0.43186180422264875,0,0.5662188099808061
18163,690.0,372,0,316,2,0.5391304347826087,0,0.4579710144927536,0.002898550724637681
18555,666.0,0,663,1,2,0,0.9954954954954955,0.0015015015015015015,0.003003003003003003
19220,509.0,0,239,0,270,0,0.46954813359528486,0,0.5304518664047151
21372,394.0,2,0,180,212,0.005076142131979695,0,0.45685279187817257,0.5380710659898477
21597,969.0,1,471,0,497,0.0010319917440660474,0.48606811145510836,0,0.5128998968008256
21618,955.0,4,455,493,3,0.004188481675392671,0.47643979057591623,0.5162303664921466,0.0031413612565445027
21762,688.0,1,388,1,298,0.0014534883720930232,0.563953488372093,0.0014534883720930232,0.4331395348837209
21846,696.0,2,8,3,683,0.0028735632183908046,0.011494252873563218,0.004310344827586207,0.9813218390804598
21987,434.0,413,0,20,1,0.9516129032258065,0,0.04608294930875576,0.002304147465437788
22578,955.0,459,0,493,3,0.4806282722513089,0,0.5162303664921466,0.0031413612565445027
22679,376.0,0,193,0,183,0,0.5132978723404256,0,0.4867021276595745
22686,367.0,1,177,0,189,0.0027247956403269754,0.4822888283378747,0,0.5149863760217984
