ID,Column_ID,>Gamma_P.1__P.1_EPI_ISL_2777382_Brazil_2020-12-03_Freq,>Gamma_P.1__P.1_EPI_ISL_2777382_Brazil_2020-12-03_LNum
1,9,439,94
2,47,463,94
3,71,414,94
4,95,398,94
5,113,414,94
6,179,558,94
7,260,478,93
8,303,500,93
9,335,476,94
10,404,623,70
11,417,589,94
12,437,698,94
13,466,558,94
14,467,0,1
15,563,675,94
16,566,656,94
17,647,339,94
18,782,256,94
19,793,258,89
20,821,182,94
21,914,184,94
22,925,150,91
23,1001,199,94
24,1055,251,94
25,1102,236,93
26,1160,263,94
27,1207,380,94
28,1232,343,94
29,1323,229,94
30,1373,180,94
31,1418,153,94
32,1620,152,94
33,1665,299,94
34,1817,330,94
35,1923,256,94
36,1992,191,94
37,2129,261,94
38,2135,272,94
39,2141,288,94
40,2204,426,91
41,2426,643,94
42,2636,667,93
43,2771,454,91
44,2874,314,94
45,2975,333,94
46,3162,257,94
47,3191,278,94
48,3248,326,94
49,3471,159,94
50,3530,204,94
51,3586,276,94
52,3736,83,92
53,3915,417,86
54,4034,159,94
55,4191,124,94
56,4417,313,94
57,4627,218,94
58,4660,372,94
59,4918,147,87
60,5249,609,93
61,5315,471,94
62,5658,77,93
63,7205,133,94
64,7585,70,92
65,7874,170,93
66,8042,177,94
67,9763,353,36
68,9869,275,93
69,10401,23,94
70,10415,400,94
71,10585,512,94
72,11894,357,90
73,12470,438,94
74,14075,164,94
75,16775,1126,94
76,18320,408,94
77,21307,145,94
78,21332,168,93
79,21378,225,71
80,21499,321,73
81,21937,41,94
82,21963,40,91
83,22336,139,54
84,22550,84,86
85,22570,20,2
86,22571,85,57
87,22640,73,56
88,22675,100,62
89,23693,117,94
90,24674,273,94
91,24816,142,94
92,24817,152,94
93,25395,262,93
