barcode,positions,base_prop
,21,"[0.0, 0.7763496143958869, 0.0, 0.2236503856041131]"
,2832,"[0.782991202346041, 0.002932551319648, 0.2111436950146627, 0.002932551319648]"
,7124,"[0.0, 0.2156448202959831, 0.0, 0.7843551797040169]"
,18744,"[0.0028248587570621, 0.2033898305084746, 0.0, 0.7937853107344632]"
,21846,"[0.0, 0.6825396825396826, 0.0, 0.3174603174603174]"
,22578,"[0.5052910052910053, 0.0, 0.4894179894179894, 0.0052910052910052]"
,22599,"[0.4502923976608187, 0.0, 0.5497076023391813, 0.0]"
,22673,"[0.0, 0.2819383259911894, 0.0, 0.7180616740088106]"
,22674,"[0.0, 0.7244444444444444, 0.0044444444444444, 0.2711111111111111]"
,22679,"[0.008695652173913, 0.2695652173913043, 0.0, 0.7217391304347827]"
,22686,"[0.0, 0.70042194092827, 0.0, 0.2995780590717299]"
,22813,"[0.0, 0.0, 0.6842105263157895, 0.3157894736842105]"
,22882,"[0.0, 0.0, 0.2937853107344633, 0.7062146892655368]"
,22898,"[0.2742857142857143, 0.0057142857142857, 0.72, 0.0]"
,22917,"[0.0, 0.0, 0.6764705882352942, 0.3235294117647059]"
,22992,"[0.4390243902439024, 0.0, 0.5609756097560976, 0.0]"
,23013,"[0.5766423357664233, 0.4233576642335766, 0.0, 0.0]"
,23040,"[0.5836065573770491, 0.0, 0.4163934426229508, 0.0]"
,23048,"[0.4177215189873418, 0.0, 0.5822784810126582, 0.0]"
,23055,"[0.5796178343949044, 0.0, 0.4203821656050955, 0.0]"
,23063,"[0.5862068965517241, 0.0031347962382445, 0.0, 0.4106583072100313]"
,23075,"[0.0, 0.4029850746268656, 0.0, 0.5970149253731343]"
,23202,"[0.4201030927835051, 0.5798969072164949, 0.0, 0.0]"
,23401,"[0.0, 0.0, 0.335, 0.665]"
,23525,"[0.0, 0.5771812080536913, 0.0, 0.4228187919463087]"
,23599,"[0.00139470013947, 0.0, 0.4170153417015341, 0.5815899581589958]"
,23604,"[0.4183381088825215, 0.0, 0.5787965616045845, 0.0028653295128939]"
,23854,"[0.443952802359882, 0.5545722713864307, 0.0, 0.0014749262536873]"
,23948,"[0.0, 0.0, 0.4743875278396436, 0.5256124721603563]"
,24130,"[0.4797297297297297, 0.5202702702702703, 0.0, 0.0]"
,24208,"[0.0, 0.5363636363636364, 0.0, 0.4636363636363636]"
,24410,"[0.605, 0.0, 0.39, 0.005]"
,24424,"[0.6465116279069767, 0.0, 0.0046511627906976, 0.3488372093023256]"
,24469,"[0.3755868544600939, 0.0, 0.0093896713615023, 0.6150234741784038]"
,24503,"[0.0, 0.602803738317757, 0.0, 0.397196261682243]"
,25000,"[0.0, 0.4021739130434782, 0.0, 0.5978260869565217]"
,25469,"[0.0, 0.416289592760181, 0.0, 0.583710407239819]"
,25584,"[0.0, 0.5442477876106194, 0.0, 0.4557522123893805]"
,26270,"[0.002008032128514, 0.6847389558232931, 0.0, 0.3132530120481928]"
,26530,"[0.6963350785340314, 0.0, 0.3036649214659686, 0.0]"
,26577,"[0.0044444444444444, 0.6577777777777778, 0.3377777777777778, 0.0]"
,26709,"[0.4344473007712082, 0.0, 0.5629820051413882, 0.0025706940874035]"
,26767,"[0.0038610038610038, 0.5675675675675675, 0.0, 0.4285714285714285]"
,27259,"[0.5143918291550603, 0.479108635097493, 0.0, 0.0064995357474466]"
,27291,"[0.0011061946902654, 0.5376106194690266, 0.0033185840707964, 0.4579646017699115]"
,27638,"[0.0, 0.4560669456066946, 0.0, 0.5439330543933054]"
,27752,"[0.0, 0.6503067484662577, 0.0, 0.3496932515337423]"
,27807,"[0.0102564102564102, 0.4205128205128205, 0.0, 0.5692307692307692]"
,27874,"[0.0043668122270742, 0.5851528384279476, 0.0, 0.4104803493449782]"
,28236,"[0.0009661835748792, 0.4067632850241546, 0.0009661835748792, 0.591304347826087]"
,28311,"[0.0008064516129032, 0.5467741935483871, 0.0008064516129032, 0.4516129032258064]"
,28461,"[0.4642857142857143, 0.0, 0.5337301587301587, 0.0019841269841269]"
,28881,"[0.4651866801210898, 0.0010090817356205, 0.012108980827447, 0.5216952573158425]"
,28882,"[0.4522167487684729, 0.0009852216748768, 0.5467980295566502, 0.0]"
,28883,"[0.0, 0.4500978473581213, 0.5499021526418787, 0.0]"
,28916,"[0.0, 0.0025996533795493, 0.5069324090121318, 0.4904679376083189]"
,29402,"[0.0, 0.0, 0.5230061349693251, 0.4769938650306748]"
,29742,"[0.002061855670103, 0.0010309278350515, 0.5855670103092784, 0.411340206185567]"
