ID,Column_ID,>Omicron_BA.1__BA.1_EPI_ISL_6795848_South_Africa_2021-11-15_Freq,>Omicron_BA.1__BA.1_EPI_ISL_6795848_South_Africa_2021-11-15_LNum
1,9,909,94
2,47,966,94
3,71,896,94
4,95,1622,94
5,113,2399,94
6,179,3480,94
7,260,0,93
8,303,3269,93
9,335,3064,94
10,404,1838,70
11,417,2131,94
12,437,2277,94
13,466,2155,94
14,467,2167,94
15,563,2731,94
16,566,2689,94
17,647,2672,94
18,782,2063,94
19,793,2016,89
20,821,2302,94
21,914,1874,94
22,925,2178,91
23,1001,1831,94
24,1055,1735,94
25,1102,1478,93
26,1160,1876,94
27,1207,1868,94
28,1232,1691,94
29,1323,2967,94
30,1373,2957,94
31,1418,3107,94
32,1620,2506,94
33,1665,3320,94
34,1817,4050,94
35,1923,2240,94
36,1992,933,94
37,2129,1304,94
38,2135,1139,94
39,2141,1096,94
40,2204,1022,91
41,2426,3118,94
42,2636,2570,93
43,2771,2817,91
44,2874,2710,94
45,2975,2681,94
46,3162,2623,94
47,3191,2674,94
48,3248,2809,94
49,3471,2130,94
50,3530,629,94
51,3586,577,94
52,3736,435,92
53,3915,0,86
54,4034,1341,94
55,4191,439,94
56,4417,2233,94
57,4627,3278,94
58,4660,3021,94
59,4918,3594,87
60,5249,3359,93
61,5315,2208,94
62,5658,1937,93
63,7205,2313,94
64,7585,1952,92
65,7874,1400,93
66,8042,1526,94
67,9763,1942,59
68,9869,2648,93
69,10401,3008,94
70,10415,2734,94
71,10585,2351,94
72,11894,2488,90
73,12470,2713,94
74,14075,2192,94
75,16775,5376,94
76,18320,1530,94
77,21307,3285,94
78,21332,2737,93
79,21378,3599,71
80,21499,2747,22
81,21937,1648,94
82,21963,2431,91
83,22336,2051,41
84,22550,204,86
85,22570,238,93
86,22571,243,38
87,22640,383,39
88,22675,388,62
89,23693,1130,94
90,24674,2247,94
91,24816,1831,94
92,24817,1817,94
93,25395,0,93
