Position,AY.107_50%_and_BA.2.3_50%_position_base_counts.csv_Total_reads,AY.107_50%_and_BA.2.3_50%_position_base_counts.csv_A_reads,AY.107_50%_and_BA.2.3_50%_position_base_counts.csv_C_reads,AY.107_50%_and_BA.2.3_50%_position_base_counts.csv_G_reads,AY.107_50%_and_BA.2.3_50%_position_base_counts.csv_T_reads,AY.107_50%_and_BA.2.3_50%_position_base_counts.csv_A_proportion,AY.107_50%_and_BA.2.3_50%_position_base_counts.csv_C_proportion,AY.107_50%_and_BA.2.3_50%_position_base_counts.csv_G_proportion,AY.107_50%_and_BA.2.3_50%_position_base_counts.csv_T_proportion,AY.107_80%_and_BA.2.3_20%_position_base_counts.csv_Total_reads,AY.107_80%_and_BA.2.3_20%_position_base_counts.csv_A_reads,AY.107_80%_and_BA.2.3_20%_position_base_counts.csv_C_reads,AY.107_80%_and_BA.2.3_20%_position_base_counts.csv_G_reads,AY.107_80%_and_BA.2.3_20%_position_base_counts.csv_T_reads,AY.107_80%_and_BA.2.3_20%_position_base_counts.csv_A_proportion,AY.107_80%_and_BA.2.3_20%_position_base_counts.csv_C_proportion,AY.107_80%_and_BA.2.3_20%_position_base_counts.csv_G_proportion,AY.107_80%_and_BA.2.3_20%_position_base_counts.csv_T_proportion,AY.107_90%_and_BA.2.3_10%_position_base_counts.csv_Total_reads,AY.107_90%_and_BA.2.3_10%_position_base_counts.csv_A_reads,AY.107_90%_and_BA.2.3_10%_position_base_counts.csv_C_reads,AY.107_90%_and_BA.2.3_10%_position_base_counts.csv_G_reads,AY.107_90%_and_BA.2.3_10%_position_base_counts.csv_T_reads,AY.107_90%_and_BA.2.3_10%_position_base_counts.csv_A_proportion,AY.107_90%_and_BA.2.3_10%_position_base_counts.csv_C_proportion,AY.107_90%_and_BA.2.3_10%_position_base_counts.csv_G_proportion,AY.107_90%_and_BA.2.3_10%_position_base_counts.csv_T_proportion,AY.107_95%_and_BA.2.3_5%_position_base_counts.csv_Total_reads,AY.107_95%_and_BA.2.3_5%_position_base_counts.csv_A_reads,AY.107_95%_and_BA.2.3_5%_position_base_counts.csv_C_reads,AY.107_95%_and_BA.2.3_5%_position_base_counts.csv_G_reads,AY.107_95%_and_BA.2.3_5%_position_base_counts.csv_T_reads,AY.107_95%_and_BA.2.3_5%_position_base_counts.csv_A_proportion,AY.107_95%_and_BA.2.3_5%_position_base_counts.csv_C_proportion,AY.107_95%_and_BA.2.3_5%_position_base_counts.csv_G_proportion,AY.107_95%_and_BA.2.3_5%_position_base_counts.csv_T_proportion,AY.107_98%_and_BA.2.3_2%_position_base_counts.csv_Total_reads,AY.107_98%_and_BA.2.3_2%_position_base_counts.csv_A_reads,AY.107_98%_and_BA.2.3_2%_position_base_counts.csv_C_reads,AY.107_98%_and_BA.2.3_2%_position_base_counts.csv_G_reads,AY.107_98%_and_BA.2.3_2%_position_base_counts.csv_T_reads,AY.107_98%_and_BA.2.3_2%_position_base_counts.csv_A_proportion,AY.107_98%_and_BA.2.3_2%_position_base_counts.csv_C_proportion,AY.107_98%_and_BA.2.3_2%_position_base_counts.csv_G_proportion,AY.107_98%_and_BA.2.3_2%_position_base_counts.csv_T_proportion
210,305.0,3,4,2,296,0.0098360655737704,0.0131147540983606,0.0065573770491803,0.9704918032786886,477.0,2,4,3,468,0.0041928721174004,0.0083857442348008,0.0062893081761006,0.981132075471698,572.0,6,6,8,552,0.0104895104895104,0.0104895104895104,0.0139860139860139,0.965034965034965,562.0,1,5,5,551,0.0017793594306049,0.0088967971530249,0.0088967971530249,0.9804270462633452,603.0,1,5,9,588,0.0016583747927031,0.0082918739635157,0.0149253731343283,0.9751243781094528
241,310.0,1,4,1,304,0.0032258064516129,0.0129032258064516,0.0032258064516129,0.9806451612903224,470.0,5,5,5,455,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.9680851063829788,541.0,3,5,5,528,0.0055452865064695,0.0092421441774491,0.0092421441774491,0.9759704251386322,554.0,5,8,5,536,0.0090252707581227,0.0144404332129963,0.0090252707581227,0.967509025270758,599.0,6,5,4,584,0.010016694490818,0.008347245409015,0.006677796327212,0.9749582637729548
670,1221.0,14,12,399,796,0.0114660114660114,0.0098280098280098,0.3267813267813267,0.6519246519246519,1423.0,7,11,153,1252,0.0049191848208011,0.0077301475755446,0.1075193253689388,0.8798313422347154,1601.0,12,15,88,1486,0.0074953154278575,0.0093691442848219,0.0549656464709556,0.9281698938163648,1539.0,14,15,39,1471,0.0090968161143599,0.0097465886939571,0.0253411306042884,0.9558154645873944,1605.0,11,15,13,1566,0.0068535825545171,0.0093457943925233,0.0080996884735202,0.9757009345794392
934,1865.0,7,1116,14,728,0.0037533512064343,0.5983914209115282,0.0075067024128686,0.3903485254691689,2081.0,15,1797,8,261,0.0072080730418068,0.8635271504084575,0.0038443056222969,0.1254204709274387,2246.0,17,2087,9,133,0.0075690115761353,0.9292074799643812,0.004007123775601,0.0592163846838824,2219.0,10,2115,20,74,0.0045065344749887,0.9531320414601172,0.0090130689499774,0.0333483551149166,2250.0,28,2170,18,34,0.0124444444444444,0.9644444444444444,0.008,0.0151111111111111
1274,2885.0,1451,38,1375,21,0.502946273830156,0.0131715771230502,0.4766031195840554,0.0072790294627383,2910.0,2306,27,551,26,0.7924398625429553,0.0092783505154639,0.1893470790378006,0.00893470790378,2972.0,2640,28,281,23,0.8882907133243607,0.0094212651413189,0.0945491251682368,0.0077388963660834,3039.0,2839,30,140,30,0.9341888779203684,0.0098716683119447,0.046067785455742,0.0098716683119447,2960.0,2833,33,65,29,0.9570945945945946,0.0111486486486486,0.0219594594594594,0.0097972972972972
2790,5039.0,52,2284,51,2652,0.0103195078388569,0.4532645366144076,0.0101210557650327,0.5262948997817027,4964.0,37,3828,38,1061,0.007453666398066,0.7711522965350524,0.007655116841257,0.2137389202256245,4909.0,46,4292,41,530,0.009370543898961,0.8743124872682827,0.0083520065186392,0.1079649623141169,4895.0,36,4555,40,264,0.0073544433094994,0.930541368743616,0.0081716036772216,0.0539325842696629,5006.0,47,4808,51,100,0.0093887335197762,0.9604474630443468,0.0101877746703955,0.0199760287654814
3037,4074.0,47,51,35,3941,0.0115365733922434,0.0125184094256259,0.0085910652920962,0.9673539518900344,3502.0,42,54,24,3382,0.0119931467732724,0.0154197601370645,0.0068532267275842,0.9657338663620788,3259.0,39,51,34,3135,0.0119668610003068,0.0156489720773243,0.0104326480515495,0.9619515188708192,3160.0,43,44,31,3042,0.0136075949367088,0.0139240506329113,0.0098101265822784,0.9626582278481012,3078.0,44,32,32,2970,0.0142949967511371,0.0103963612735542,0.0103963612735542,0.9649122807017544
3655,4600.0,50,2659,25,1866,0.0108695652173913,0.5780434782608695,0.0054347826086956,0.4056521739130435,4261.0,42,1038,26,3155,0.0098568411171086,0.2436047876085426,0.0061018540248767,0.7404365172494719,4125.0,43,544,24,3514,0.0104242424242424,0.1318787878787878,0.0058181818181818,0.8518787878787879,4076.0,36,260,38,3742,0.0088321884200196,0.0637880274779195,0.0093228655544651,0.9180569185475956,3991.0,38,104,26,3823,0.0095214232022049,0.0260586319218241,0.006514657980456,0.9579052868955148
4181,3791.0,27,36,2674,1054,0.0071221313637562,0.009496175151675,0.7053547876549723,0.2780269058295964,2975.0,30,29,1154,1762,0.0100840336134453,0.0097478991596638,0.3878991596638655,0.5922689075630252,2620.0,29,39,562,1990,0.0110687022900763,0.0148854961832061,0.2145038167938931,0.7595419847328244,2524.0,37,32,279,2176,0.0146592709984152,0.0126782884310618,0.1105388272583201,0.8621236133122029,2389.0,28,34,97,2230,0.0117203850983675,0.0142318961908748,0.0406027626622017,0.933444956048556
4184,3804.0,2611,32,1119,42,0.6863827549947423,0.0084121976866456,0.2941640378548896,0.0110410094637223,3032.0,1125,30,1847,30,0.371042216358839,0.0098944591029023,0.6091688654353562,0.0098944591029023,2692.0,543,24,2094,31,0.2017087667161961,0.0089153046062407,0.7778603268945022,0.0115156017830609,2620.0,256,26,2315,23,0.0977099236641221,0.0099236641221374,0.8835877862595419,0.0087786259541984,2485.0,85,34,2340,26,0.0342052313883299,0.0136820925553319,0.9416498993963782,0.0104627766599597
