barcode,positions,base_prop
,210,"[0.0, 0.0, 0.3061224489795918, 0.6938775510204082]"
,521,"[0.0, 0.0, 0.4184397163120567, 0.5815602836879432]"
,526,"[0.0, 0.0, 0.4172661870503597, 0.5827338129496403]"
,641,"[0.2753623188405797, 0.0, 0.0144927536231884, 0.7101449275362319]"
,1132,"[0.3972602739726027, 0.0, 0.6027397260273972, 0.0]"
,2518,"[0.0, 0.0, 0.5686274509803921, 0.4313725490196078]"
,2582,"[0.0, 0.0, 0.4953271028037383, 0.5046728971962616]"
,3504,"[0.3617021276595745, 0.0, 0.0, 0.6382978723404256]"
,3631,"[0.0, 0.3703703703703703, 0.0, 0.6296296296296297]"
,4068,"[0.0, 0.5897435897435898, 0.0, 0.4102564102564102]"
,4079,"[0.5384615384615384, 0.0, 0.4615384615384615, 0.0]"
,4181,"[0.0175438596491228, 0.0, 0.3508771929824561, 0.631578947368421]"
,4184,"[0.3157894736842105, 0.0175438596491228, 0.6666666666666666, 0.0]"
,4362,"[0.2203389830508474, 0.7796610169491526, 0.0, 0.0]"
,5437,"[0.0, 0.0, 0.6033057851239669, 0.396694214876033]"
,5931,"[0.391304347826087, 0.0, 0.6086956521739131, 0.0]"
,6402,"[0.0, 0.4743589743589743, 0.0128205128205128, 0.5128205128205128]"
,7124,"[0.0, 0.4264705882352941, 0.0, 0.5735294117647058]"
,7768,"[0.0, 0.3469387755102041, 0.0, 0.6530612244897959]"
,8986,"[0.0, 0.6557377049180327, 0.0, 0.3442622950819672]"
,8991,"[0.0, 0.6612903225806451, 0.0, 0.3387096774193548]"
,9053,"[0.0, 0.0, 0.4573643410852713, 0.5426356589147286]"
,9286,"[0.0, 0.7692307692307693, 0.0, 0.2307692307692307]"
,9534,"[0.0, 0.7647058823529411, 0.0, 0.2352941176470588]"
,9638,"[0.0, 0.24, 0.0, 0.76]"
,10582,"[0.0, 0.3404255319148936, 0.0106382978723404, 0.648936170212766]"
,11201,"[0.3725490196078431, 0.0, 0.6274509803921569, 0.0]"
,11332,"[0.2816901408450704, 0.0, 0.7183098591549296, 0.0]"
,12160,"[0.2212389380530973, 0.0, 0.7787610619469026, 0.0]"
,12445,"[0.0, 0.4411764705882353, 0.0, 0.5588235294117647]"
,12565,"[0.0, 0.0, 0.4609929078014184, 0.5390070921985816]"
,12570,"[0.0, 0.55, 0.0, 0.45]"
,14408,"[0.0, 0.2040816326530612, 0.0, 0.7959183673469388]"
,14676,"[0.0138888888888888, 0.2361111111111111, 0.0, 0.75]"
,14712,"[0.0, 0.0, 0.7611940298507462, 0.2388059701492537]"
,15451,"[0.4355828220858895, 0.0, 0.5644171779141104, 0.0]"
,17410,"[0.0, 0.2258064516129032, 0.0, 0.7741935483870968]"
,18163,"[0.3627450980392157, 0.0, 0.6372549019607843, 0.0]"
,21618,"[0.0, 0.2549019607843137, 0.0392156862745098, 0.7058823529411765]"
,22599,"[0.0, 0.7068965517241379, 0.293103448275862, 0.0]"
,23055,"[0.2666666666666666, 0.0, 0.7333333333333333, 0.0]"
,23063,"[0.2666666666666666, 0.0, 0.0, 0.7333333333333333]"
,23604,"[0.6527777777777778, 0.3472222222222222, 0.0, 0.0]"
,23854,"[0.6842105263157895, 0.3157894736842105, 0.0, 0.0]"
,26988,"[0.0, 0.4385964912280701, 0.0, 0.5614035087719298]"
,27459,"[0.0, 0.0, 0.3535353535353535, 0.6464646464646465]"
,27752,"[0.0, 0.3770491803278688, 0.0, 0.6229508196721312]"
,28461,"[0.2292682926829268, 0.0, 0.7707317073170732, 0.0]"
