Position,Total_reads,A_reads,C_reads,G_reads,T_reads,A_proportion,C_proportion,G_proportion,T_proportion
19,0.0,0,0,0,0,0,0,0,0
21,0.0,0,0,0,0,0,0,0,0
210,234.0,1,1,18,214,0.004273504273504274,0.004273504273504274,0.07692307692307693,0.9145299145299145
241,222.0,1,2,1,218,0.0045045045045045045,0.009009009009009009,0.0045045045045045045,0.9819819819819819
709,235.0,22,0,213,0,0.09361702127659574,0,0.9063829787234042,0
1577,572.0,513,1,58,0,0.8968531468531469,0.0017482517482517483,0.10139860139860139,0
2198,581.0,140,0,438,3,0.24096385542168675,0,0.7538726333907056,0.0051635111876075735
2832,75.0,68,0,7,0,0.9066666666666666,0,0.09333333333333334,0
3037,48.0,0,0,0,48,0,0,0,1.0
4181,267.0,1,1,21,244,0.003745318352059925,0.003745318352059925,0.07865168539325842,0.9138576779026217
4326,3.0,2,0,1,0,0.6666666666666666,0,0.3333333333333333,0
4370,2.0,0,0,1,1,0,0,0.5,0.5
5386,645.0,2,6,33,604,0.0031007751937984496,0.009302325581395349,0.05116279069767442,0.9364341085271318
5736,640.0,5,411,0,224,0.0078125,0.6421875,0,0.35
5924,617.0,45,1,568,3,0.07293354943273905,0.0016207455429497568,0.9205834683954619,0.004862236628849271
6040,606.0,0,601,1,4,0,0.9917491749174917,0.0016501650165016502,0.006600660066006601
6402,123.0,0,6,0,117,0,0.04878048780487805,0,0.9512195121951219
6538,126.0,0,10,0,116,0,0.07936507936507936,0,0.9206349206349206
7124,97.0,0,8,0,89,0,0.08247422680412371,0,0.9175257731958762
7594,679.0,0,597,3,79,0,0.8792341678939617,0.004418262150220913,0.11634756995581738
7798,705.0,5,2,68,630,0.0070921985815602835,0.0028368794326241137,0.09645390070921986,0.8936170212765957
8393,224.0,17,0,207,0,0.07589285714285714,0,0.9241071428571429,0
8964,232.0,0,229,1,2,0,0.9870689655172413,0.004310344827586207,0.008620689655172414
8986,226.0,0,18,1,207,0,0.07964601769911504,0.004424778761061947,0.915929203539823
9053,227.0,2,0,22,203,0.00881057268722467,0,0.09691629955947137,0.8942731277533039
9539,44.0,1,35,1,7,0.022727272727272728,0.7954545454545454,0.022727272727272728,0.1590909090909091
10029,26.0,0,1,0,25,0,0.038461538461538464,0,0.9615384615384616
10046,30.0,0,0,30,0,0,0,1.0,0
10449,556.0,53,490,1,12,0.09532374100719425,0.8812949640287769,0.0017985611510791368,0.02158273381294964
11002,551.0,85,1,464,1,0.1542649727767695,0.0018148820326678765,0.8421052631578947,0.0018148820326678765
11201,517.0,66,1,448,2,0.1276595744680851,0.0019342359767891683,0.8665377176015474,0.0038684719535783366
11332,451.0,64,0,387,0,0.1419068736141907,0,0.8580931263858093,0
11537,192.0,183,0,9,0,0.953125,0,0.046875,0
13195,251.0,0,16,0,235,0,0.06374501992031872,0,0.9362549800796812
13482,238.0,27,4,207,0,0.1134453781512605,0.01680672268907563,0.8697478991596639,0
14408,572.0,1,21,0,550,0.0017482517482517483,0.03671328671328671,0,0.9615384615384616
14820,507.0,465,0,42,0,0.9171597633136095,0,0.08284023668639054,0
15240,456.0,0,409,1,46,0,0.8969298245614035,0.0021929824561403508,0.10087719298245613
15451,444.0,407,1,36,0,0.9166666666666666,0.0022522522522522522,0.08108108108108109,0
