ID,Column_ID,>Omicron_BA.2_+212SGR__EPI_ISL_8653546_BA.2_Denmark_2022-01-07_Freq,>Omicron_BA.2_+212SGR__EPI_ISL_8653546_BA.2_Denmark_2022-01-07_LNum
1,9,2007,94
2,47,2014,94
3,71,1963,94
4,95,2420,94
5,113,2587,94
6,179,3900,94
7,260,3877,93
8,303,3677,93
9,335,3568,94
10,404,496,25
11,417,4278,94
12,437,4530,94
13,466,4915,94
14,467,4951,94
15,563,5371,94
16,566,5289,94
17,647,5187,94
18,782,2655,94
19,793,2366,89
20,821,2908,94
21,914,2153,94
22,925,2519,91
23,1001,1912,94
24,1055,1104,94
25,1102,2007,93
26,1160,2337,94
27,1207,2321,94
28,1232,2016,94
29,1323,1013,94
30,1373,1793,94
31,1418,2396,94
32,1620,1747,94
33,1665,2911,94
34,1817,3028,94
35,1923,1628,94
36,1992,1309,94
37,2129,2837,94
38,2135,2510,94
39,2141,2392,94
40,2204,2720,91
41,2426,5268,94
42,2636,3439,93
43,2771,3709,91
44,2874,2057,94
45,2975,2475,94
46,3162,2996,94
47,3191,2495,94
48,3248,2432,94
49,3471,2489,94
50,3530,1910,94
51,3586,1401,94
52,3736,2342,92
53,3915,4652,86
54,4034,4137,94
55,4191,2238,94
56,4417,2667,94
57,4627,3549,94
58,4660,3520,94
59,4918,2820,87
60,5249,4010,93
61,5315,2748,94
62,5658,2363,93
63,7205,2940,94
64,7585,3211,92
65,7874,3489,93
66,8042,3124,94
67,9763,854,59
68,9869,2708,93
69,10401,2631,94
70,10415,2113,94
71,10585,2600,94
72,11894,4391,90
73,12470,4235,94
74,14075,3129,94
75,16775,5846,94
76,18320,2000,94
77,21307,1124,94
78,21332,980,93
79,21378,354,24
80,21499,1249,73
81,21937,0,94
82,21963,0,91
83,22336,535,41
84,22550,892,9
85,22570,822,93
86,22571,821,38
87,22640,233,39
88,22675,308,62
89,23693,1520,94
90,24674,3780,94
91,24816,998,94
92,24817,823,94
93,25395,2622,93
