ID,Column_ID,>AY.25_B.1.617.2_S112L__EPI_ISL_2295285_2021-04-23_AY.25_USA_OK-CDC-4114730-001_Freq,>AY.25_B.1.617.2_S112L__EPI_ISL_2295285_2021-04-23_AY.25_USA_OK-CDC-4114730-001_LNum
1,9,2107,94
2,47,2001,94
3,71,1953,94
4,95,1792,94
5,113,2045,94
6,179,3240,94
7,260,3898,93
8,303,3708,93
9,335,3889,94
10,404,1808,70
11,417,1818,94
12,437,1863,94
13,466,1997,94
14,467,1995,94
15,563,2783,94
16,566,2393,94
17,647,3273,94
18,782,724,94
19,793,747,89
20,821,940,94
21,914,2110,94
22,925,2193,91
23,1001,2887,94
24,1055,2706,94
25,1102,2423,93
26,1160,1241,94
27,1207,1692,94
28,1232,1971,94
29,1323,2497,94
30,1373,2758,94
31,1418,1255,94
32,1620,2468,94
33,1665,2736,94
34,1817,4081,94
35,1923,6515,94
36,1992,6958,94
37,2129,3838,94
38,2135,3089,94
39,2141,3030,94
40,2204,784,91
41,2426,1448,94
42,2636,2041,93
43,2771,1681,91
44,2874,1701,94
45,2975,3900,94
46,3162,4678,94
47,3191,4137,94
48,3248,3884,94
49,3471,1610,94
50,3530,1965,94
51,3586,2640,94
52,3736,1477,92
53,3915,897,9
54,4034,1565,94
55,4191,1959,94
56,4417,1013,94
57,4627,583,94
58,4660,660,94
59,4918,1584,87
60,5249,567,93
61,5315,3160,94
62,5658,4161,93
63,7205,1387,94
64,7585,1172,92
65,7874,2283,93
66,8042,1490,94
67,9763,913,59
68,9869,1513,93
69,10401,1416,94
70,10415,1598,94
71,10585,1318,94
72,11894,3207,90
73,12470,8562,94
74,14075,874,94
75,16775,1627,94
76,18320,2428,94
77,21307,5134,94
78,21332,4840,93
79,21378,765,71
80,21499,191,73
81,21937,1098,94
82,21963,945,91
83,22336,715,54
84,22550,1669,86
85,22570,1649,93
86,22571,513,57
87,22640,371,56
88,22675,302,31
89,23693,4357,94
90,24674,3440,94
91,24816,1144,94
92,24817,1160,94
93,25395,1239,93
