Position,Total_reads,A_reads,C_reads,G_reads,T_reads,A_proportion,C_proportion,G_proportion,T_proportion
210,562.0,1,5,5,551,0.0017793594306049821,0.008896797153024912,0.008896797153024912,0.9804270462633452
241,554.0,5,8,5,536,0.009025270758122744,0.01444043321299639,0.009025270758122744,0.9675090252707581
670,1539.0,14,15,39,1471,0.009096816114359974,0.009746588693957114,0.025341130604288498,0.9558154645873944
934,2219.0,10,2115,20,74,0.004506534474988734,0.9531320414601172,0.009013068949977467,0.03334835511491663
1274,3039.0,2839,30,140,30,0.9341888779203685,0.009871668311944718,0.04606778545574202,0.009871668311944718
2790,4895.0,36,4555,40,264,0.007354443309499489,0.9305413687436159,0.008171603677221655,0.05393258426966292
3037,3160.0,43,44,31,3042,0.01360759493670886,0.013924050632911392,0.009810126582278481,0.9626582278481013
3655,4076.0,36,260,38,3742,0.008832188420019628,0.06378802747791953,0.009322865554465163,0.9180569185475956
4181,2524.0,37,32,279,2176,0.014659270998415214,0.012678288431061807,0.11053882725832012,0.8621236133122029
4184,2620.0,256,26,2315,23,0.09770992366412214,0.009923664122137405,0.8835877862595419,0.008778625954198474
4321,3453.0,23,3156,31,243,0.00666087460179554,0.9139878366637706,0.008977700550246163,0.07037358818418767
6402,1833.0,14,224,13,1582,0.007637752318603383,0.12220403709765412,0.0070921985815602835,0.8630660120021822
8986,3090.0,27,143,33,2887,0.008737864077669903,0.04627831715210356,0.010679611650485437,0.934304207119741
8991,3107.0,27,2935,22,123,0.008690054715159318,0.9446411329256518,0.007080785323463148,0.03958802703572578
9053,2983.0,30,25,153,2775,0.010056989607777405,0.008380824673147838,0.05129064699966477,0.93027153871941
9333,2525.0,11,138,18,2358,0.004356435643564357,0.05465346534653465,0.007128712871287129,0.9338613861386139
9344,2718.0,17,2556,15,130,0.006254598969830758,0.9403973509933775,0.005518763796909493,0.047829286239882265
9424,3231.0,3052,20,143,16,0.9445991952955741,0.0061900340451872485,0.044258743423088824,0.004952027236149799
9534,3324.0,25,3136,26,137,0.007521058965102286,0.9434416365824309,0.007821901323706379,0.04121540312876053
9866,3200.0,27,3018,20,135,0.0084375,0.943125,0.00625,0.0421875
10029,3326.0,30,34,25,3237,0.009019843656043296,0.010222489476849068,0.00751653638003608,0.9732411304870715
10198,3544.0,48,3322,28,146,0.013544018058690745,0.9373589164785553,0.007900677200902935,0.041196388261851014
10447,3537.0,157,37,3323,20,0.04438789934973141,0.010460842521911224,0.939496748657054,0.005654509471303365
10449,3539.0,163,3320,25,31,0.04605820853348404,0.9381181124611472,0.007064142413111049,0.0087595365922577
11201,3711.0,223,25,3429,34,0.06009161950956615,0.006736728644570197,0.9240097008892482,0.009161950956615468
11332,3842.0,215,28,3565,34,0.055960437272254034,0.007287870900572618,0.9279021343050494,0.008849557522123894
12880,5087.0,46,4748,56,237,0.009042657755061922,0.9333595439355219,0.01100845291920582,0.04658934539021034
13329,4973.0,38,4647,45,243,0.007641262819223809,0.9344460084456063,0.0090488638648703,0.04886386487029962
14408,4582.0,52,50,44,4436,0.011348756001745963,0.010912265386294195,0.00960279353993889,0.9681361850720209
15012,4158.0,179,28,3917,34,0.04304954304954305,0.006734006734006734,0.942039442039442,0.008177008177008177
15451,3869.0,3625,33,172,39,0.9369346084259499,0.008529335745670715,0.04445593176531403,0.01008012406306539
15714,3806.0,38,3570,29,169,0.009984235417761429,0.9379926431949553,0.0076195480819758275,0.044403573305307406
16466,3510.0,41,201,46,3222,0.011680911680911682,0.05726495726495726,0.013105413105413105,0.9179487179487179
17410,2076.0,15,1890,18,153,0.0072254335260115606,0.9104046242774566,0.008670520231213872,0.07369942196531792
18163,2423.0,2230,19,153,21,0.920346677672307,0.007841518778373916,0.06314486174164259,0.008666941807676434
19220,1049.0,10,183,13,843,0.009532888465204958,0.1744518589132507,0.012392755004766444,0.8036224976167778
19955,125.0,2,1,1,121,0.016,0.008,0.008,0.968
20055,131.0,2,1,127,1,0.015267175572519083,0.007633587786259542,0.9694656488549618,0.007633587786259542
21618,154.0,1,4,2,147,0.006493506493506494,0.025974025974025976,0.012987012987012988,0.9545454545454546
21987,133.0,128,2,1,2,0.9624060150375939,0.015037593984962405,0.007518796992481203,0.015037593984962405
22200,143.0,0,0,143,0,0,0,1.0,0
22578,172.0,141,2,26,3,0.8197674418604651,0.011627906976744186,0.1511627906976744,0.01744186046511628
22674,229.0,2,103,3,121,0.008733624454148471,0.4497816593886463,0.013100436681222707,0.5283842794759825
22679,231.0,0,123,1,107,0,0.5324675324675324,0.004329004329004329,0.46320346320346323
22686,228.0,1,108,2,117,0.0043859649122807015,0.47368421052631576,0.008771929824561403,0.5131578947368421
22688,228.0,111,0,115,2,0.4868421052631579,0,0.5043859649122807,0.008771929824561403
22775,240.0,125,1,113,1,0.5208333333333334,0.004166666666666667,0.4708333333333333,0.004166666666666667
22786,220.0,107,112,0,1,0.4863636363636364,0.509090909090909,0,0.004545454545454545
22813,421.0,6,5,294,116,0.014251781472684086,0.011876484560570071,0.6983372921615202,0.2755344418052256
22882,863.0,8,6,115,734,0.009269988412514484,0.006952491309385863,0.1332560834298957,0.8505214368482039
22917,1040.0,6,6,901,127,0.0057692307692307696,0.0057692307692307696,0.8663461538461539,0.12211538461538461
22992,893.0,115,5,764,9,0.12877939529675253,0.005599104143337066,0.8555431131019037,0.010078387458006719
22995,891.0,865,14,9,3,0.9708193041526375,0.015712682379349047,0.010101010101010102,0.003367003367003367
23013,928.0,803,113,6,6,0.865301724137931,0.12176724137931035,0.00646551724137931,0.00646551724137931
23040,949.0,813,8,122,6,0.8566912539515279,0.008429926238145416,0.1285563751317176,0.006322444678609062
23055,934.0,801,10,118,5,0.8576017130620985,0.010706638115631691,0.12633832976445397,0.0053533190578158455
23063,937.0,793,6,7,131,0.8463180362860192,0.0064034151547491995,0.007470651013874066,0.13980789754535752
23075,937.0,11,123,10,793,0.011739594450373533,0.13127001067235858,0.010672358591248666,0.8463180362860192
23403,739.0,3,1,735,0,0.0040595399188092015,0.0013531799729364006,0.9945872801082544,0
23525,934.0,10,808,10,106,0.010706638115631691,0.8650963597430407,0.010706638115631691,0.11349036402569593
23599,1319.0,17,15,103,1184,0.01288855193328279,0.011372251705837756,0.07808946171341925,0.8976497346474602
23604,1314.0,110,14,1173,17,0.0837138508371385,0.0106544901065449,0.8926940639269406,0.01293759512937595
23854,128.0,123,3,2,0,0.9609375,0.0234375,0.015625,0
23948,120.0,2,0,1,117,0.016666666666666666,0,0.008333333333333333,0.975
24410,1259.0,1100,12,136,11,0.8737092930897538,0.009531374106433678,0.10802223987291501,0.008737092930897538
24424,1277.0,1127,9,12,129,0.8825371965544244,0.007047768206734534,0.009397024275646046,0.10101801096319499
24469,1225.0,141,7,9,1068,0.11510204081632654,0.005714285714285714,0.007346938775510204,0.8718367346938776
24863,2342.0,19,137,25,2161,0.008112724167378309,0.058497011101622545,0.01067463706233988,0.9227156276686592
25000,2469.0,17,2287,12,153,0.00688537869582827,0.926285945727015,0.004860267314702308,0.061968408262454436
25469,2433.0,28,117,24,2264,0.011508425811755036,0.04808877928483354,0.009864364981504316,0.9305384299219072
25584,2564.0,26,2402,17,119,0.01014040561622465,0.9368174726989079,0.006630265210608425,0.046411856474258974
25810,2530.0,26,2355,21,128,0.010276679841897233,0.9308300395256917,0.008300395256916997,0.05059288537549407
26060,2805.0,16,2616,25,148,0.00570409982174688,0.932620320855615,0.008912655971479501,0.05276292335115865
26270,3181.0,23,2972,39,147,0.007230430682175416,0.9342973907576234,0.012260295504558314,0.04621188305564288
26577,3049.0,29,2824,178,18,0.009511315185306658,0.9262053132174484,0.05837979665464087,0.005903574942604133
26709,2491.0,160,19,2295,17,0.06423123243677238,0.0076274588518667205,0.9213167402649538,0.006824568446407065
26767,2581.0,21,2383,16,161,0.008136381247578458,0.9232855482371174,0.006199147617202635,0.06237892289810151
26858,2381.0,16,2191,20,154,0.006719865602687947,0.9202015959680806,0.008399832003359933,0.06467870642587148
27259,1133.0,939,172,7,15,0.8287731685789939,0.15180935569285084,0.00617828773168579,0.01323918799646955
27807,160.0,1,1,0,158,0.00625,0.00625,0,0.9875
27874,866.0,13,142,4,707,0.015011547344110854,0.16397228637413394,0.004618937644341801,0.8163972286374134
28271,107.0,11,2,1,93,0.102803738317757,0.018691588785046728,0.009345794392523364,0.8691588785046729
28311,144.0,1,43,0,100,0.006944444444444444,0.2986111111111111,0,0.6944444444444444
28461,549.0,87,1,461,0,0.15846994535519127,0.0018214936247723133,0.8397085610200364,0
28881,30.0,28,0,1,1,0.9333333333333333,0,0.03333333333333333,0.03333333333333333
28882,31.0,27,1,3,0,0.8709677419354839,0.03225806451612903,0.0967741935483871,0
28883,30.0,0,29,1,0,0,0.9666666666666667,0.03333333333333333,0
28916,55.0,0,0,44,11,0,0,0.8,0.2
29510,15.0,0,15,0,0,0,1.0,0,0
29684,4.0,4,0,0,0,1.0,0,0,0
