barcode,positions,base_prop
,21,"[0.0007195538765965, 0.2817053426875337, 0.0003597769382982, 0.7172153264975715]"
,210,"[0.0, 0.0004438526409232, 0.7700843320017754, 0.2294718153573013]"
,652,"[0.2318790793541738, 0.0010305736860185, 0.7667468223978015, 0.0003435245620061]"
,1959,"[0.0017704337562702, 0.7241074063145471, 0.0, 0.2741221599291826]"
,4181,"[0.0, 0.0005480953685941, 0.6990956426418197, 0.3003562619895862]"
,5269,"[0.7602230483271375, 0.0055762081784386, 0.2311028500619578, 0.0030978934324659]"
,5386,"[0.0004662004662004, 0.0, 0.7258741258741259, 0.2736596736596736]"
,5515,"[0.0, 0.0, 0.2493627867459643, 0.7506372132540357]"
,6402,"[0.000352360817477, 0.6705426356589147, 0.0, 0.3291050035236081]"
,7124,"[0.002035002035002, 0.7928367928367929, 0.0012210012210012, 0.2039072039072039]"
,8393,"[0.7828746177370031, 0.0007645259938837, 0.2140672782874617, 0.0022935779816513]"
,8695,"[0.2448805460750853, 0.0008532423208191, 0.7474402730375427, 0.0068259385665529]"
,8986,"[0.0013986013986013, 0.7503496503496504, 0.0006993006993006, 0.2475524475524475]"
,9053,"[0.0, 0.0, 0.7377049180327869, 0.2622950819672131]"
,9246,"[0.0020325203252032, 0.7228997289972899, 0.0013550135501355, 0.2737127371273712]"
,10449,"[0.7551388388027407, 0.2441399206635413, 0.0003606202668589, 0.0003606202668589]"
,11201,"[0.727456530529721, 0.0016174686615446, 0.2693085321471896, 0.0016174686615446]"
,11332,"[0.7376447331262356, 0.001129624399887, 0.2612256424738774, 0.0]"
,11537,"[0.23359375, 0.003125, 0.76328125, 0.0]"
,12160,"[0.2655035084392186, 0.0003792907263417, 0.7339275554712688, 0.0001896453631708]"
,13195,"[0.0011621150493898, 0.7652527600232423, 0.0, 0.2335851249273678]"
,15240,"[0.0006020469596628, 0.222155328115593, 0.0012040939193257, 0.7760385310054184]"
,15273,"[0.0011487650775416, 0.2130959218839747, 0.0005743825387708, 0.7851809304997128]"
,15451,"[0.2531214528944381, 0.0005675368898978, 0.7446083995459705, 0.0017026106696935]"
,16193,"[0.0018814675446848, 0.7478833490122295, 0.0028222013170272, 0.2474129821260583]"
,16466,"[0.0017921146953405, 0.7467144563918757, 0.0, 0.2514934289127837]"
,17236,"[0.7293606455617628, 0.0002069108214359, 0.2693978895096213, 0.0010345541071798]"
,17676,"[0.0014513788098693, 0.733913884857281, 0.0, 0.2646347363328495]"
,18163,"[0.2048048048048048, 0.0, 0.7945945945945946, 0.0006006006006006]"
,19220,"[0.0, 0.7508571428571429, 0.0022857142857142, 0.2468571428571428]"
,19962,"[0.0004835589941972, 0.0, 0.7768375241779497, 0.2226789168278529]"
,20436,"[0.0024875621890547, 0.7479270315091211, 0.0, 0.2495854063018242]"
,21618,"[0.0034324942791762, 0.5446224256292906, 0.4496567505720824, 0.0022883295194508]"
,22673,"[0.0014895729890764, 0.7244289970208541, 0.0014895729890764, 0.272591857000993]"
,22674,"[0.0004970178926441, 0.2743538767395626, 0.0, 0.7251491053677932]"
,22679,"[0.0004980079681274, 0.7226095617529881, 0.0, 0.2768924302788844]"
,22686,"[0.0004847309743092, 0.2719340765874939, 0.0, 0.7275811924381969]"
,22813,"[0.0, 0.0, 0.4581632653061224, 0.5418367346938775]"
,22882,"[0.0, 0.0, 0.4391691394658754, 0.5608308605341247]"
,22898,"[0.4409005628517823, 0.0009380863039399, 0.5562851782363978, 0.0018761726078799]"
,22917,"[0.0042992261392949, 0.0025795356835769, 0.4909716251074806, 0.5021496130696474]"
,23202,"[0.7324923879947803, 0.2657677250978686, 0.0, 0.001739886907351]"
