ID,Column_ID,>AY.25_B.1.617.2_S112L__EPI_ISL_2295285_2021-04-23_AY.25_USA_OK-CDC-4114730-001_Freq,>AY.25_B.1.617.2_S112L__EPI_ISL_2295285_2021-04-23_AY.25_USA_OK-CDC-4114730-001_LNum
1,9,1206,94
2,47,1535,94
3,71,1281,94
4,95,1263,94
5,113,785,94
6,179,1012,94
7,260,777,93
8,303,881,93
9,335,881,94
10,404,935,70
11,417,877,94
12,437,430,94
13,466,829,94
14,467,918,94
15,563,1580,94
16,566,1546,94
17,647,1389,94
18,782,799,94
19,793,696,89
20,821,738,94
21,914,681,94
22,925,796,91
23,1001,632,94
24,1055,451,94
25,1102,662,93
26,1160,796,94
27,1207,720,94
28,1232,659,94
29,1323,358,94
30,1373,570,94
31,1418,414,94
32,1620,901,94
33,1665,554,94
34,1817,384,94
35,1923,259,94
36,1992,355,94
37,2129,349,94
38,2135,274,94
39,2141,252,94
40,2204,538,91
41,2426,579,94
42,2636,661,93
43,2771,363,91
44,2874,503,94
45,2975,657,94
46,3162,369,94
47,3191,492,94
48,3248,928,94
49,3471,442,94
50,3530,280,94
51,3586,287,94
52,3736,333,92
53,3915,110,9
54,4034,797,94
55,4191,779,94
56,4417,789,94
57,4627,329,94
58,4660,550,94
59,4918,1013,87
60,5249,632,93
61,5315,635,94
62,5658,224,93
63,7205,206,94
64,7585,199,92
65,7874,321,93
66,8042,403,94
67,9763,408,59
68,9869,594,93
69,10401,542,94
70,10415,411,94
71,10585,378,94
72,11894,316,90
73,12470,588,94
74,14075,503,94
75,16775,945,94
76,18320,453,94
77,21307,929,94
78,21332,634,93
79,21378,543,71
80,21499,91,73
81,21937,162,94
82,21963,209,91
83,22336,157,54
84,22550,207,86
85,22570,214,93
86,22571,99,57
87,22640,94,56
88,22675,47,31
89,23693,360,94
90,24674,743,94
91,24816,502,94
92,24817,505,94
93,25395,1131,93
