Position,Total_reads,A_reads,C_reads,G_reads,T_reads,A_proportion,C_proportion,G_proportion,T_proportion
670,776.0,12,6,137,621,0.015463917525773196,0.007731958762886598,0.17654639175257733,0.8002577319587629
2790,5351.0,45,4268,46,992,0.008409643057372454,0.7976079237525696,0.008596524014202953,0.18538590917585498
2832,5180.0,1021,49,4057,53,0.1971042471042471,0.00945945945945946,0.7832046332046332,0.010231660231660231
3037,4542.0,41,47,43,4411,0.009026860413914576,0.010347864376926464,0.00946719506825187,0.9711580801409071
4184,4923.0,1036,34,3815,38,0.21044078813731465,0.0069063579118423726,0.7749339833434897,0.00771887060735324
4321,5014.0,42,3909,45,1018,0.008376545672118069,0.779617072197846,0.008974870362983646,0.20303151176705225
5386,5232.0,36,53,4285,858,0.006880733944954129,0.010129969418960244,0.8189984709480123,0.16399082568807338
7762,3702.0,35,2853,31,783,0.00945434900054025,0.7706645056726094,0.008373851971907077,0.21150729335494328
8393,3447.0,2687,21,719,20,0.7795184218160719,0.006092254134029591,0.20858717725558457,0.005802146794313896
9344,2810.0,17,2221,23,549,0.006049822064056939,0.7903914590747331,0.008185053380782919,0.19537366548042703
9424,2858.0,2266,12,550,30,0.7928621413575927,0.004198740377886634,0.19244226731980407,0.010496850944716585
9534,2857.0,29,2287,25,516,0.010150507525376268,0.8004900245012251,0.008750437521876094,0.18060903045152257
9866,2828.0,26,2223,23,556,0.009193776520509194,0.786067892503536,0.008132956152758133,0.1966053748231966
10029,3075.0,19,42,23,2991,0.006178861788617886,0.013658536585365854,0.0074796747967479675,0.9726829268292683
10198,3066.0,23,2431,29,583,0.007501630789302022,0.7928897586431833,0.009458577951728636,0.19015003261578603
10447,3539.0,610,27,2875,27,0.17236507487990957,0.007629273806159932,0.8123763775077706,0.007629273806159932
10449,3525.0,3443,33,23,26,0.9767375886524823,0.009361702127659575,0.006524822695035461,0.007375886524822695
11537,4150.0,837,28,3244,41,0.2016867469879518,0.006746987951807229,0.7816867469879518,0.009879518072289156
12880,5044.0,41,3980,35,988,0.008128469468675655,0.789056304520222,0.006938937351308485,0.1958762886597938
13195,5208.0,55,4044,45,1064,0.010560675883256529,0.7764976958525346,0.008640552995391706,0.20430107526881722
14408,3952.0,31,40,35,3846,0.00784412955465587,0.010121457489878543,0.008856275303643725,0.9731781376518218
15240,4165.0,42,846,53,3224,0.010084033613445379,0.20312124849939975,0.012725090036014406,0.7740696278511404
15714,3756.0,36,2992,33,695,0.009584664536741214,0.7965921192758253,0.00878594249201278,0.18503727369542067
17042,3451.0,712,22,2680,37,0.20631700956244567,0.006374963778614894,0.7765864966676326,0.010721529991306867
17410,3508.0,32,2781,41,654,0.009122006841505131,0.7927594070695553,0.011687571265678449,0.1864310148232611
18163,3282.0,39,26,3189,28,0.011882998171846435,0.007921998781230956,0.9716636197440585,0.008531383302864107
19955,3568.0,31,2857,29,651,0.008688340807174889,0.8007286995515696,0.008127802690582959,0.18245515695067266
20055,3429.0,2718,30,660,21,0.7926509186351706,0.008748906386701663,0.19247594050743658,0.006124234470691163
21618,2797.0,19,2145,27,606,0.006792992491955667,0.7668930997497319,0.009653199856989631,0.21666070790132286
21762,2112.0,5,662,7,1438,0.0023674242424242425,0.3134469696969697,0.0033143939393939395,0.6808712121212122
21846,2554.0,22,682,18,1832,0.008613938919342208,0.26703210649960846,0.007047768206734534,0.7173061863743148
21987,604.0,575,7,17,5,0.9519867549668874,0.011589403973509934,0.028145695364238412,0.008278145695364239
22200,1689.0,9,11,573,1096,0.0053285968028419185,0.006512729425695678,0.3392539964476021,0.6489046773238603
22578,2164.0,2075,34,25,30,0.9588724584103512,0.015711645101663587,0.01155268022181146,0.013863216266173753
22673,1832.0,11,1340,11,470,0.006004366812227074,0.7314410480349345,0.006004366812227074,0.25655021834061137
22674,1809.0,14,18,8,1769,0.007739082365948038,0.009950248756218905,0.004422332780541736,0.9778883360972913
22679,1820.0,6,1787,9,18,0.0032967032967032967,0.9818681318681318,0.004945054945054945,0.00989010989010989
22686,1909.0,16,13,16,1864,0.008381351492928235,0.006809848088004191,0.008381351492928235,0.9764274489261393
22688,1993.0,1575,19,392,7,0.7902659307576518,0.009533366783743101,0.19668840943301555,0.0035122930255895636
22775,2168.0,505,19,1627,17,0.23293357933579337,0.008763837638376383,0.7504612546125461,0.007841328413284132
22786,2154.0,1627,493,19,15,0.755338904363974,0.22887650882079852,0.008820798514391829,0.006963788300835654
22813,2127.0,13,24,20,2070,0.0061118946873530795,0.011283497884344146,0.009402914903620122,0.9732016925246827
22882,2197.0,17,17,2139,24,0.007737824305871643,0.007737824305871643,0.9736003641329085,0.010923987255348202
22898,2207.0,1587,16,591,13,0.7190756683280471,0.007249660172179429,0.26778432260987767,0.0058903488898957865
22992,1926.0,1880,16,15,15,0.9761163032191069,0.008307372793354102,0.00778816199376947,0.00778816199376947
22995,1932.0,1885,16,14,17,0.9756728778467909,0.008281573498964804,0.007246376811594203,0.008799171842650104
23013,2021.0,21,1967,20,13,0.010390895596239486,0.9732805541810985,0.009896091044037604,0.006432459178624443
23040,1957.0,22,15,1912,8,0.011241696474195196,0.007664793050587634,0.977005620848237,0.004087889626980072
23048,1946.0,1377,11,548,10,0.7076053442959918,0.005652620760534429,0.2816032887975334,0.0051387461459403904
23055,1925.0,16,14,1876,19,0.008311688311688312,0.007272727272727273,0.9745454545454545,0.009870129870129871
23063,1977.0,16,13,10,1938,0.008093070308548306,0.0065756196256954984,0.005058168942842691,0.9802731411229135
23075,2092.0,15,2031,17,29,0.007170172084130019,0.9708413001912046,0.008126195028680689,0.013862332695984704
23202,2712.0,2096,569,24,23,0.7728613569321534,0.20980825958702065,0.008849557522123894,0.008480825958702065
23403,2559.0,33,19,2477,30,0.012895662368112544,0.007424775302852677,0.9679562329034779,0.011723329425556858
23525,2444.0,16,25,23,2380,0.006546644844517185,0.010229132569558102,0.009410801963993453,0.9738134206219312
23599,2357.0,19,12,2301,25,0.008061094611794654,0.005091217649554518,0.976240984302079,0.010606703436571913
23604,2323.0,2262,30,16,15,0.9737408523461042,0.012914334911752045,0.006887645286267757,0.0064571674558760225
23854,2433.0,2370,30,17,16,0.9741060419235512,0.012330456226880395,0.006987258528565557,0.006576243321002877
23948,2609.0,17,21,22,2549,0.006515906477577616,0.008049060942889995,0.00843234955921809,0.9770026830203143
24130,3009.0,2337,623,20,29,0.7766699900299102,0.20704553007643736,0.006646726487205052,0.009637753406447324
24213,2827.0,24,574,23,2206,0.008489564909798374,0.20304209409267776,0.008135833038556774,0.7803325079589671
24424,2826.0,38,28,25,2735,0.013446567586694975,0.009907997169143666,0.008846426043878274,0.9677990092002831
24469,2842.0,2764,24,20,34,0.9725545390570021,0.00844475721323012,0.007037297677691766,0.011963406052076003
24503,2930.0,27,601,20,2282,0.009215017064846417,0.20511945392491468,0.006825938566552901,0.778839590443686
25000,2970.0,27,35,22,2886,0.00909090909090909,0.011784511784511785,0.007407407407407408,0.9717171717171718
25584,2481.0,31,26,32,2392,0.012494961708988311,0.010479645304312777,0.012898024989923419,0.9641273679967755
26060,2915.0,28,2287,17,583,0.00960548885077187,0.7845626072041166,0.005831903945111492,0.2
26270,3185.0,26,30,41,3088,0.00816326530612245,0.009419152276295133,0.012872841444270016,0.9695447409733124
26530,3331.0,720,27,2561,23,0.2161513059141399,0.008105673971780246,0.7688381867307115,0.006904833383368358
26577,3316.0,31,29,3228,28,0.009348612786489748,0.008745476477683957,0.9734620024125452,0.008443908323281062
26709,2974.0,2886,20,38,30,0.9704102219233356,0.006724949562878279,0.012777404169468728,0.010087424344317418
26858,3376.0,27,2644,25,680,0.007997630331753554,0.783175355450237,0.00740521327014218,0.2014218009478673
27259,2976.0,31,2905,21,19,0.010416666666666666,0.9761424731182796,0.007056451612903226,0.006384408602150538
