Position,AY.132_50%_and_AY.63_50%_position_base_counts.csv_Total_reads,AY.132_50%_and_AY.63_50%_position_base_counts.csv_A_reads,AY.132_50%_and_AY.63_50%_position_base_counts.csv_C_reads,AY.132_50%_and_AY.63_50%_position_base_counts.csv_G_reads,AY.132_50%_and_AY.63_50%_position_base_counts.csv_T_reads,AY.132_50%_and_AY.63_50%_position_base_counts.csv_A_proportion,AY.132_50%_and_AY.63_50%_position_base_counts.csv_C_proportion,AY.132_50%_and_AY.63_50%_position_base_counts.csv_G_proportion,AY.132_50%_and_AY.63_50%_position_base_counts.csv_T_proportion,AY.132_80%_and_AY.63_20%_position_base_counts.csv_Total_reads,AY.132_80%_and_AY.63_20%_position_base_counts.csv_A_reads,AY.132_80%_and_AY.63_20%_position_base_counts.csv_C_reads,AY.132_80%_and_AY.63_20%_position_base_counts.csv_G_reads,AY.132_80%_and_AY.63_20%_position_base_counts.csv_T_reads,AY.132_80%_and_AY.63_20%_position_base_counts.csv_A_proportion,AY.132_80%_and_AY.63_20%_position_base_counts.csv_C_proportion,AY.132_80%_and_AY.63_20%_position_base_counts.csv_G_proportion,AY.132_80%_and_AY.63_20%_position_base_counts.csv_T_proportion,AY.132_90%_and_AY.63_10%_position_base_counts.csv_Total_reads,AY.132_90%_and_AY.63_10%_position_base_counts.csv_A_reads,AY.132_90%_and_AY.63_10%_position_base_counts.csv_C_reads,AY.132_90%_and_AY.63_10%_position_base_counts.csv_G_reads,AY.132_90%_and_AY.63_10%_position_base_counts.csv_T_reads,AY.132_90%_and_AY.63_10%_position_base_counts.csv_A_proportion,AY.132_90%_and_AY.63_10%_position_base_counts.csv_C_proportion,AY.132_90%_and_AY.63_10%_position_base_counts.csv_G_proportion,AY.132_90%_and_AY.63_10%_position_base_counts.csv_T_proportion,AY.132_95%_and_AY.63_5%_position_base_counts.csv_Total_reads,AY.132_95%_and_AY.63_5%_position_base_counts.csv_A_reads,AY.132_95%_and_AY.63_5%_position_base_counts.csv_C_reads,AY.132_95%_and_AY.63_5%_position_base_counts.csv_G_reads,AY.132_95%_and_AY.63_5%_position_base_counts.csv_T_reads,AY.132_95%_and_AY.63_5%_position_base_counts.csv_A_proportion,AY.132_95%_and_AY.63_5%_position_base_counts.csv_C_proportion,AY.132_95%_and_AY.63_5%_position_base_counts.csv_G_proportion,AY.132_95%_and_AY.63_5%_position_base_counts.csv_T_proportion,AY.132_98%_and_AY.63_2%_position_base_counts.csv_Total_reads,AY.132_98%_and_AY.63_2%_position_base_counts.csv_A_reads,AY.132_98%_and_AY.63_2%_position_base_counts.csv_C_reads,AY.132_98%_and_AY.63_2%_position_base_counts.csv_G_reads,AY.132_98%_and_AY.63_2%_position_base_counts.csv_T_reads,AY.132_98%_and_AY.63_2%_position_base_counts.csv_A_proportion,AY.132_98%_and_AY.63_2%_position_base_counts.csv_C_proportion,AY.132_98%_and_AY.63_2%_position_base_counts.csv_G_proportion,AY.132_98%_and_AY.63_2%_position_base_counts.csv_T_proportion
320,1.0,0,1,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
1418,2701.0,1517,17,1137,30,0.5616438356164384,0.0062939651980747,0.4209552017771196,0.0111069974083672,2935.0,2439,16,446,34,0.8310051107325384,0.0054514480408858,0.1519591141396933,0.0115843270868824,3006.0,2728,27,219,32,0.9075182967398536,0.0089820359281437,0.0728542914171656,0.0106453759148369,2952.0,2777,31,122,22,0.9407181571815718,0.0105013550135501,0.0413279132791327,0.0074525745257452,3052.0,2957,32,40,23,0.968872870249017,0.0104849279161205,0.0131061598951507,0.0075360419397116
2172,4170.0,1922,39,2172,37,0.4609112709832134,0.0093525179856115,0.520863309352518,0.008872901678657,4423.0,798,38,3559,28,0.1804205290526792,0.0085914537644132,0.8046574723038662,0.0063305448790413,4467.0,383,38,4006,40,0.0857398701589433,0.008506827848668,0.8967987463622118,0.0089545556301768,4431.0,212,39,4148,32,0.0478447303091852,0.0088016249153689,0.9361317986910404,0.0072218460844053,4603.0,96,34,4445,28,0.0208559635020638,0.0073864870736476,0.96567456006952,0.0060829893547686
3037,4387.0,37,38,39,4273,0.0084340095737405,0.0086619557784362,0.0088899019831319,0.9740141326646912,4653.0,50,42,45,4516,0.0107457554266064,0.0090264345583494,0.0096711798839458,0.9705566301310982,4818.0,49,47,48,4674,0.0101701951017019,0.0097550850975508,0.0099626400996264,0.9701120797011208,4861.0,47,54,40,4720,0.0096687924295412,0.0111088253445793,0.0082287595145031,0.9709936227113762,4733.0,46,43,32,4612,0.0097189942953729,0.0090851468413268,0.0067610395098246,0.9744348193534756
4181,4201.0,43,28,1486,2644,0.0102356581766246,0.0066650797429183,0.3537253034991668,0.6293739585812902,4794.0,47,41,568,4138,0.0098039215686274,0.0085523571130579,0.1184814351272424,0.8631622861910722,4877.0,39,35,322,4481,0.0079967192946483,0.0071765429567356,0.0660241952019684,0.9188025425466476,4949.0,39,39,182,4689,0.0078803798747221,0.0078803798747221,0.0367751060820367,0.9474641341685188,5032.0,43,48,83,4858,0.0085453100158982,0.0095389507154213,0.0164944356120826,0.9654213036565976
4321,4037.0,41,2871,43,1082,0.0101560564775823,0.7111716621253406,0.0106514738667327,0.2680208075303443,4880.0,56,4339,49,436,0.0114754098360655,0.8891393442622951,0.0100409836065573,0.0893442622950819,5136.0,56,4828,49,203,0.0109034267912772,0.9400311526479752,0.0095404984423676,0.03952492211838,5249.0,53,5005,53,138,0.0100971613640693,0.9535149552295676,0.0100971613640693,0.0262907220422937,5301.0,43,5135,53,70,0.0081116770420675,0.9686851537445764,0.0099981135634785,0.0132050556498773
4754,4095.0,40,1285,35,2735,0.0097680097680097,0.3137973137973138,0.0085470085470085,0.6678876678876678,4718.0,29,492,39,4158,0.0061466723187791,0.1042814752013565,0.0082662144976685,0.8813056379821959,4897.0,45,241,41,4570,0.009189299571166,0.0492138043700224,0.0083724729426179,0.9332244231161936,5019.0,41,153,47,4778,0.0081689579597529,0.0304841601912731,0.0093644152221558,0.951982466626818,5068.0,55,72,37,4904,0.010852407261247,0.0142067876874506,0.0073007103393843,0.967640094711918
5184,3638.0,29,2901,26,682,0.0079714128642111,0.797416162726773,0.0071467839472237,0.1874656404617922,4595.0,44,4249,31,271,0.009575625680087,0.9247007616974972,0.006746463547334,0.0589771490750816,4903.0,35,4685,45,138,0.0071384866408321,0.955537426065674,0.0091780542524984,0.0281460330409953,5138.0,37,4967,41,93,0.0072012456208641,0.9667185675360064,0.0079797586609575,0.018100428182172,5206.0,41,5063,47,55,0.00787552823665,0.9725316941990012,0.0090280445639646,0.0105647330003841
5192,3610.0,34,2894,18,664,0.0094182825484764,0.8016620498614958,0.0049861495844875,0.1839335180055401,4552.0,32,4231,26,263,0.0070298769771528,0.929481546572935,0.0057117750439367,0.0577768014059753,4889.0,52,4650,47,140,0.0106361219063203,0.9511147473921048,0.0096134178768664,0.0286357128247085,5121.0,32,4960,37,92,0.006248779535247,0.9685608279632884,0.0072251513376293,0.0179652411638351,5196.0,44,5044,50,58,0.0084680523479599,0.970746728252502,0.0096227867590454,0.0111624326404926
5584,4413.0,2695,38,1642,38,0.6106956718785407,0.0086109222750963,0.3720824835712667,0.0086109222750963,5026.0,4304,43,642,37,0.8563469956227616,0.0085555113410266,0.1277357739753283,0.0073617190608834,5215.0,4811,51,301,52,0.9225311601150528,0.0097794822627037,0.0577181208053691,0.0099712368168744,5316.0,5036,49,170,61,0.9473288186606472,0.0092174567343867,0.0319789315274642,0.0114747930775018,5308.0,5139,39,76,54,0.9681612660135644,0.0073474001507159,0.014318010550113,0.0101733232856066
