Position,Total_reads,A_reads,C_reads,G_reads,T_reads,A_proportion,C_proportion,G_proportion,T_proportion
48,0.0,0,0,0,0,0,0,0,0
49,1.0,0,0,0,1,0,0,0,1.0
50,4.0,0,3,0,0,0,0.75,0,0
210,81.0,0,1,42,38,0,0.012345679012345678,0.5185185185185185,0.4691358024691358
241,75.0,2,4,2,67,0.02666666666666667,0.05333333333333334,0.02666666666666667,0.8933333333333333
670,75.0,0,1,35,39,0,0.013333333333333334,0.4666666666666667,0.52
2653,74.0,29,2,1,42,0.3918918918918919,0.02702702702702703,0.013513513513513514,0.5675675675675675
2790,68.0,0,44,1,23,0,0.6470588235294118,0.014705882352941176,0.3382352941176471
3037,52.0,0,0,0,52,0,0,0,1.0
4181,63.0,0,2,21,40,0,0.031746031746031744,0.3333333333333333,0.6349206349206349
4184,58.0,17,0,39,2,0.29310344827586204,0,0.6724137931034483,0.034482758620689655
4321,50.0,0,43,0,7,0,0.86,0,0.14
4390,42.0,1,0,40,1,0.023809523809523808,0,0.9523809523809523,0.023809523809523808
4394,42.0,0,0,42,0,0,0,1.0,0
4396,42.0,42,0,0,0,1.0,0,0,0
4410,42.0,0,42,0,0,0,1.0,0,0
4411,37.0,37,0,0,0,1.0,0,0,0
4426,41.0,41,0,0,0,1.0,0,0,0
4431,42.0,0,1,0,41,0,0.023809523809523808,0,0.9761904761904762
4443,41.0,0,0,0,41,0,0,0,1.0
4445,42.0,0,0,42,0,0,0,1.0,0
4448,42.0,41,0,0,1,0.9761904761904762,0,0,0.023809523809523808
4450,40.0,1,3,1,35,0.025,0.075,0.025,0.875
4453,41.0,41,0,0,0,1.0,0,0,0
4487,42.0,0,0,41,1,0,0,0.9761904761904762,0.023809523809523808
4490,42.0,41,0,1,0,0.9761904761904762,0,0.023809523809523808,0
4491,41.0,1,0,0,40,0.024390243902439025,0,0,0.975609756097561
4495,42.0,42,0,0,0,1.0,0,0,0
4499,41.0,0,41,0,0,0,1.0,0,0
4504,36.0,1,0,35,0,0.027777777777777776,0,0.9722222222222222,0
4513,42.0,0,0,1,41,0,0,0.023809523809523808,0.9761904761904762
4516,42.0,0,0,0,42,0,0,0,1.0
4535,33.0,0,0,0,33,0,0,0,1.0
4536,40.0,0,1,0,39,0,0.025,0,0.975
4576,42.0,42,0,0,0,1.0,0,0,0
4578,40.0,0,0,0,40,0,0,0,1.0
4579,41.0,0,0,0,41,0,0,0,1.0
4587,41.0,0,1,0,40,0,0.024390243902439025,0,0.975609756097561
4591,43.0,0,0,0,43,0,0,0,1.0
4605,41.0,0,41,0,0,0,1.0,0,0
4618,42.0,0,42,0,0,0,1.0,0,0
4623,43.0,0,1,0,42,0,0.023255813953488372,0,0.9767441860465116
4624,43.0,43,0,0,0,1.0,0,0,0
4626,42.0,0,38,2,2,0,0.9047619047619048,0.047619047619047616,0.047619047619047616
4628,43.0,0,42,0,1,0,0.9767441860465116,0,0.023255813953488372
4634,42.0,0,0,0,42,0,0,0,1.0
4636,42.0,41,0,1,0,0.9761904761904762,0,0.023809523809523808,0
4643,43.0,0,1,42,0,0,0.023255813953488372,0.9767441860465116,0
4648,43.0,43,0,0,0,1.0,0,0,0
4655,50.0,0,43,0,0,0,0.86,0,0
4657,54.0,0,0,47,0,0,0,0.8703703703703703,0
4684,73.0,0,5,1,42,0,0.0684931506849315,0.0136986301369863,0.5753424657534246
6402,74.0,0,43,0,31,0,0.581081081081081,0,0.4189189189189189
7124,91.0,0,43,0,48,0,0.4725274725274725,0,0.5274725274725275
7936,84.0,2,1,42,39,0.023809523809523808,0.011904761904761904,0.5,0.4642857142857143
8986,73.0,0,38,0,35,0,0.5205479452054794,0,0.4794520547945205
9053,75.0,0,1,38,36,0,0.013333333333333334,0.5066666666666667,0.48
9220,72.0,32,3,37,0,0.4444444444444444,0.041666666666666664,0.5138888888888888,0
9344,76.0,1,38,2,35,0.013157894736842105,0.5,0.02631578947368421,0.4605263157894737
9424,76.0,35,0,41,0,0.4605263157894737,0,0.5394736842105263,0
9534,79.0,0,37,1,41,0,0.46835443037974683,0.012658227848101266,0.5189873417721519
9866,69.0,0,35,0,34,0,0.5072463768115942,0,0.4927536231884058
10029,63.0,0,3,0,60,0,0.047619047619047616,0,0.9523809523809523
10198,65.0,0,31,0,34,0,0.47692307692307695,0,0.5230769230769231
10447,61.0,30,0,31,0,0.4918032786885246,0,0.5081967213114754,0
10449,64.0,35,28,0,1,0.546875,0.4375,0,0.015625
10875,66.0,36,0,29,1,0.5454545454545454,0,0.4393939393939394,0.015151515151515152
11201,62.0,31,0,31,0,0.5,0,0.5,0
11332,55.0,29,0,26,0,0.5272727272727272,0,0.4727272727272727,0
11355,56.0,1,27,0,28,0.017857142857142856,0.48214285714285715,0,0.5
12880,56.0,1,23,1,31,0.017857142857142856,0.4107142857142857,0.017857142857142856,0.5535714285714286
13712,54.0,37,0,17,0,0.6851851851851852,0,0.3148148148148148,0
14408,49.0,0,3,0,46,0,0.061224489795918366,0,0.9387755102040817
15451,52.0,18,1,32,1,0.34615384615384615,0.019230769230769232,0.6153846153846154,0.019230769230769232
15714,52.0,0,20,0,32,0,0.38461538461538464,0,0.6153846153846154
16466,50.0,0,33,0,17,0,0.66,0,0.34
17236,52.0,33,0,19,0,0.6346153846153846,0,0.36538461538461536,0
17410,58.0,0,29,0,29,0,0.5,0,0.5
18163,52.0,26,0,26,0,0.5,0,0.5,0
18395,53.0,0,27,0,26,0,0.5094339622641509,0,0.49056603773584906
19220,55.0,1,24,0,30,0.01818181818181818,0.43636363636363634,0,0.5454545454545454
19955,61.0,0,31,2,28,0,0.5081967213114754,0.03278688524590164,0.45901639344262296
20055,66.0,38,0,28,0,0.5757575757575758,0,0.42424242424242425,0
21575,61.0,1,38,0,22,0.01639344262295082,0.6229508196721312,0,0.36065573770491804
21618,77.0,1,0,38,38,0.012987012987012988,0,0.4935064935064935,0.4935064935064935
21633,40.0,0,1,0,39,0,0.025,0,0.975
21634,38.0,37,0,0,1,0.9736842105263158,0,0,0.02631578947368421
21987,81.0,79,0,2,0,0.9753086419753086,0,0.024691358024691357,0
22200,77.0,3,0,36,38,0.03896103896103896,0,0.4675324675324675,0.4935064935064935
22205,80.0,0,1,45,34,0,0.0125,0.5625,0.425
22481,40.0,39,1,0,0,0.975,0.025,0,0
22488,32.0,32,0,0,0,1.0,0,0,0
22492,36.0,35,0,1,0,0.9722222222222222,0,0.027777777777777776,0
22493,33.0,0,0,32,1,0,0,0.9696969696969697,0.030303030303030304
22494,38.0,0,0,38,0,0,0,1.0,0
22541,40.0,0,0,40,0,0,0,1.0,0
22548,40.0,0,0,2,38,0,0,0.05,0.95
22551,39.0,0,37,2,0,0,0.9487179487179487,0.05128205128205128,0
22563,40.0,39,0,1,0,0.975,0,0.025,0
22565,38.0,0,0,0,38,0,0,0,1.0
22568,39.0,0,1,0,38,0,0.02564102564102564,0,0.9743589743589743
22581,39.0,38,1,0,0,0.9743589743589743,0.02564102564102564,0,0
22582,41.0,40,0,0,1,0.975609756097561,0,0,0.024390243902439025
22584,38.0,0,0,2,36,0,0,0.05263157894736842,0.9473684210526315
22607,42.0,0,0,0,42,0,0,0,1.0
22610,42.0,1,0,41,0,0.023809523809523808,0,0.9761904761904762,0
22618,40.0,0,0,0,40,0,0,0,1.0
22623,42.0,42,0,0,0,1.0,0,0,0
22633,41.0,41,0,0,0,1.0,0,0,0
22642,42.0,0,42,0,0,0,1.0,0,0
22644,41.0,0,0,41,0,0,0,1.0,0
22648,42.0,0,0,0,42,0,0,0,1.0
22663,37.0,0,37,0,0,0,1.0,0,0
22670,39.0,39,0,0,0,1.0,0,0,0
22674,39.0,0,37,0,2,0,0.9487179487179487,0,0.05128205128205128
22690,35.0,0,0,0,35,0,0,0,1.0
22696,40.0,0,0,38,2,0,0,0.95,0.05
22741,42.0,0,1,0,41,0,0.023809523809523808,0,0.9761904761904762
22765,42.0,42,0,0,0,1.0,0,0,0
22786,54.0,41,13,0,0,0.7592592592592593,0.24074074074074073,0,0
22792,55.0,0,42,0,13,0,0.7636363636363637,0,0.23636363636363636
22813,59.0,4,0,39,16,0.06779661016949153,0,0.6610169491525424,0.2711864406779661
22882,72.0,0,0,29,43,0,0,0.4027777777777778,0.5972222222222222
22917,75.0,1,1,40,33,0.013333333333333334,0.013333333333333334,0.5333333333333333,0.44
22992,76.0,37,0,39,0,0.4868421052631579,0,0.5131578947368421,0
22995,73.0,72,0,1,0,0.9863013698630136,0,0.0136986301369863,0
23013,79.0,44,35,0,0,0.5569620253164557,0.4430379746835443,0,0
23040,80.0,44,1,35,0,0.55,0.0125,0.4375,0
23055,80.0,45,0,34,1,0.5625,0,0.425,0.0125
23063,78.0,41,1,0,36,0.5256410256410257,0.01282051282051282,0,0.46153846153846156
23075,79.0,0,34,0,45,0,0.43037974683544306,0,0.569620253164557
23403,83.0,3,0,80,0,0.03614457831325301,0,0.963855421686747,0
23525,87.0,0,46,0,41,0,0.5287356321839081,0,0.47126436781609193
23599,83.0,0,2,34,47,0,0.024096385542168676,0.40963855421686746,0.5662650602409639
23604,87.0,42,2,43,0,0.4827586206896552,0.022988505747126436,0.4942528735632184,0
