Position,Total_reads,A_reads,C_reads,G_reads,T_reads,A_proportion,C_proportion,G_proportion,T_proportion
100,1457.0,0,651,1,805,0,0.44680851063829785,0.0006863417982155113,0.5525051475634866
157,2073.0,6,2067,0,0,0.002894356005788712,0.9971056439942113,0,0
241,2579.0,2,1,5,2571,0.0007754943776657619,0.00038774718883288094,0.0019387359441644049,0.9968980224893369
442,2177.0,1,2172,2,2,0.00045934772622875517,0.9977032613688562,0.0009186954524575103,0.0009186954524575103
733,1946.0,3,3,10,1930,0.001541623843782117,0.001541623843782117,0.0051387461459403904,0.9917780061664954
745,1942.0,1,1940,1,0,0.0005149330587023687,0.9989701338825953,0.0005149330587023687,0
942,2073.0,3,2,2058,10,0.001447178002894356,0.000964785335262904,0.9927641099855282,0.00482392667631452
1060,2197.0,13,2182,0,2,0.005917159763313609,0.9931725079654073,0,0.0009103322712790169
1102,2139.0,4,2133,2,0,0.0018700327255726976,0.9971949509116409,0.0009350163627863488,0
1148,2176.0,2,0,2163,11,0.0009191176470588235,0,0.9940257352941176,0.00505514705882353
1190,2162.0,4,2153,2,3,0.0018501387604070306,0.9958371877890841,0.0009250693802035153,0.0013876040703052729
1264,2181.0,3,2,1387,789,0.001375515818431912,0.0009170105456212746,0.635946813388354,0.36176066024759285
1288,2252.0,4,2245,2,1,0.0017761989342806395,0.9968916518650088,0.0008880994671403197,0.0004440497335701599
1420,2318.0,3,2311,0,4,0.0012942191544434857,0.9969801553062986,0,0.001725625539257981
1885,3128.0,2,0,2,3124,0.0006393861892583121,0,0.0006393861892583121,0.9987212276214834
2122,2415.0,0,3,2,2410,0,0.0012422360248447205,0.0008281573498964803,0.9979296066252588
2257,2497.0,2,1,1,2493,0.0008009611533840609,0.00040048057669203043,0.00040048057669203043,0.9983980776932319
2306,2159.0,1,2156,1,1,0.0004631773969430292,0.998610467809171,0.0004631773969430292,0.0004631773969430292
2544,1853.0,1,1852,0,0,0.0005396654074473826,0.9994603345925526,0,0
2644,1993.0,1,1201,1,790,0.0005017561465127947,0.6026091319618665,0.0005017561465127947,0.39638735574510786
2749,2101.0,6,2091,1,3,0.0028557829604950024,0.9952403617325083,0.00047596382674916705,0.0014278914802475012
2879,2250.0,876,0,1374,0,0.3893333333333333,0,0.6106666666666667,0
3037,2391.0,0,1,3,2387,0,0.0004182350480970305,0.0012547051442910915,0.9983270598076118
3180,2684.0,2678,2,1,3,0.9977645305514158,0.0007451564828614009,0.00037257824143070045,0.0011177347242921013
3766,1450.0,1,2,0,1447,0.000689655172413793,0.001379310344827586,0,0.9979310344827587
3828,1773.0,2,1771,0,0,0.0011280315848843769,0.9988719684151156,0,0
3948,1539.0,1532,4,2,1,0.99545159194282,0.002599090318388564,0.001299545159194282,0.000649772579597141
4474,1265.0,1,0,1264,0,0.0007905138339920949,0,0.9992094861660079,0
4573,1284.0,5,1279,0,0,0.003894080996884735,0.9961059190031153,0,0
4586,1253.0,1,1250,0,2,0.0007980845969672786,0.9976057462090981,0,0.0015961691939345571
4815,1356.0,1,1352,1,2,0.0007374631268436578,0.9970501474926253,0.0007374631268436578,0.0014749262536873156
5063,1553.0,1,2,1546,4,0.000643915003219575,0.00128783000643915,0.995492594977463,0.0025756600128783
5648,5258.0,5248,6,1,3,0.99809813617345,0.0011411182959300114,0.0001901863826550019,0.0005705591479650057
5724,4422.0,4,4418,0,0,0.0009045680687471732,0.9990954319312528,0,0
5849,3680.0,9,3667,0,4,0.0024456521739130437,0.9964673913043478,0,0.0010869565217391304
6027,3675.0,13,3655,1,6,0.0035374149659863946,0.9945578231292517,0.00027210884353741496,0.0016326530612244899
6195,3272.0,7,1214,1,2050,0.002139364303178484,0.37102689486552565,0.0003056234718826406,0.6265281173594132
6310,2982.0,15,2966,1,0,0.005030181086519115,0.994634473507713,0.00033534540576794097,0
6319,3014.0,3007,5,2,0,0.9976775049767751,0.0016589250165892503,0.0006635700066357001,0
6525,3500.0,6,3494,0,0,0.0017142857142857142,0.9982857142857143,0,0
6613,3750.0,3745,2,2,1,0.9986666666666667,0.0005333333333333334,0.0005333333333333334,0.0002666666666666667
6627,3694.0,4,3683,0,7,0.0010828370330265296,0.997022198159177,0,0.0018949648077964266
6706,3738.0,4,2377,2,1355,0.001070090957731407,0.6359015516318887,0.0005350454788657035,0.3624933119315142
7054,3809.0,4,0,3,3802,0.0010501443948542925,0,0.0007876082961407193,0.9981622473090049
7164,3735.0,2,1493,2,2238,0.000535475234270415,0.3997322623828648,0.000535475234270415,0.5991967871485944
7600,6422.0,4,3975,4,2439,0.0006228589224540642,0.6189660541887263,0.0006228589224540642,0.37978822796636563
7851,5683.0,4,3629,7,2043,0.0007038535984515221,0.6385711771951434,0.0012317437972901636,0.3594932254091149
7877,5356.0,5347,3,1,5,0.998319641523525,0.0005601194921583271,0.00018670649738610905,0.0009335324869305452
